RO;HU
Biografii, memorii, jurnale;Életrajzok, memoárok, naplók
Publicistica si jurnalism;Publicisztika és újságírás
Sociologie, antropologie;Szociológia, antropológia
Poezie;Költészet
Carti ilustrate, interactive;Illusztrált, interaktív könyvek
Economie;Gazdaságtan
Culinare;Gasztronómia
Eseistica;Esszék
Hobby-uri;Hobbi könyvek
Young adult;Ifjúsági könyvek
Fictiuni, povestioare;Regények, történetek
Sanatate, dezvoltare personala;Egészség, személyes fejlődés
Istorie generala;Általános történelem
Clasici;Klasszikusok
Dezvoltare personala;Személyes fejlődés
Raftul autorilor români;Román szerzők polcai
Filosofie populara;Népszerű filozófia
Lumea naturii, animale;A természet világa, állatok
Dictionare;Szótárak
Audiobooks;Audiokönyvek
Romane ilustrate;Illusztrált regények
Moderni, contemporani;Modern, kortárs
Crestinism;Kereszténység
Istorie si critica;Történelem és kritika
Pictura, grafica, alte forme artistice;Festészet, grafika, egyéb művészeti formák
Fantasy;Fantasy
Thriller, horror;Thriller, horror
Alte forme de medicina;Egyéb orvosi formák
Inteligenta emotionala;Érzelmi intelligencia
Enciclopedii;Enciklopédiák
Piese de teatru, scenarii;Színdarabok, forgatókönyvek
Minte, corp, spirit;Elme, test, lélek
Aventura;Kaland
Filosofie non-occidentala;Nem nyugati filozófia
Romance;Romantikus regények
Psihologie;Pszichológia
Raftul Brand Minds;Brand Minds polcai
Relatii internationale;Nemzetközi kapcsolatok
Muzica;Zene
Psihologia varstelor si a sexelor;A korok és nemek pszichológiája
Proza scurta, altele;Novellák, egyéb
SF;Sci-fi
Istoria filosofiei occidentale;A nyugati filozófia története
Carte;Könyv
Drept civil;Polgári jog
Estetica;Esztétika
Psihologia sociala si de grup;Társadalmi és csoportpszichológia
Enciclopedii, dictionare, atlase;Enciklopédiák, szótárak, atlások
Metafizica si ontologie;Metafizika és ontológia
Istorie;Történelem
Stima de sine, incredere si motivatie;Önbecsülés, bizalom és motiváció
Tehnici de management;Menedzsment technikák
Istoria romanilor;A románok története
Filosofie;Filozófia
Istoria stiintei si generalitati;A tudományok és általánosságok története
Fictiune;Szépirodalom
Business;Üzlet
Epistemologie, teoria cunoasterii;Epistemológia, ismeretelmélet
Casa, gradina, familie;Otthon, kert, család
Psihologia copilului si dezvoltarii;Gyermekpszichológia és fejlődés
Materiale educationale;Oktatási anyagok
Relatia de cuplu;Párkapcsolat
Lifestyle, sport, timp liber;Életmód, sport, szabadidő
Matematica;Matematika
Teorie generala, scoli;Általános elmélet, iskolák
Preclinic: anatomie, fiziologie;Preklinikai: anatómia, élettan
Arta, arhitectura;Művészet, építészet
Citit de Scena9;Olvassa a Scena9
Arhitectura;Építészet
Istoria artei;A művészetek története
Astrologie;Asztrológia
Parenting;Szülői nevelés
Tehnologie: generalitati;Technológia: általános információk
Fitness si dieta;Fitness és diéta
Generalitati, istoria religiilor;Általánosságok, vallástörténet
Poezii, antologii;Versek, antológiák
Finante si contabilitate;Pénzügyek és könyvelés
Drept penal;Büntetőjog
Mindfulness;Tudatosság
Eu, ego, identitate, personalitate;Én, ego, identitás, személyiség
Obiceiuri si stil de viata;Szokások és életstílus
Psihoterapie;Pszichoterápia
Crime, mister;Bűnügyek, rejtélyek
Filosofia mintii;Az elme filozófiája
Psihiatrie, psihologie clinica, terapii;Pszichiátria, klinikai pszichológia, terápiák
Psihologia ocupationala;Munkahelyi pszichológia
Dans, performing arts;Tánc, előadóművészet
Psihologia cognitiva;Kognitív pszichológia
Educatie;Oktatás
Carti de colorat pentru copii;Kifestő könyvek gyerekeknek
Istoria Europei;Európa története
Studii culturale;Kulturális tanulmányok
Calatorii;Utazás
Filosofie social-politica;Társadalmi-politikai filozófia
Psihologia familiei;Családpszichológia
Antologii;Antológiák
Pentru prieteni;Barátoknak
Istorie universala;Világtörténelem
Islam;Iszlám
Fictiune mitologica si istorica;Mitológiai és történelmi fikciók
Rafturi alese;Kiválasztott polcok
Filosofia limbajului;A nyelv filozófiája
Arta comerciala si industriala;Kereskedelmi és ipari művészetek
Drept;Jog
Benzi desenate;Képregények
Numerologie;Numerológia
Stiinte sociale. Politica;Társadalomtudományok. Politika
