RO;HU
Memorii Jurnal;Memoárok, naplók
Engleza;Angol nyelvű könyvek
Literatura Romana;Román irodalom
Sociologie;Szociológia
Beletristica Limbi Straine;Szépirodalom idegen nyelveken
Carte Ortodoxa;Ortodox könyvek
Istoria Romanilor;A románok történelme
Romane de dragoste;Szerelmes regények
Literatura contemporana;Kortárs irodalom
Psihologie;Pszichológia
Medicina;Orvostudomány
Literatura Universala;Világirodalom
SF & Fantasy;Sci-Fi & Fantasy
Bucatarie;Gasztronómia
Terapii Alternative;Alternatív terápiák
Carti thriller;Thriller könyvek
Bauturi;Italok
Istorie;Történelem
Culegeri Auxiliare;Segédgyűjtemények
Magie;Mágia
Arhitectura;Építészet
Atlase;Atlaszok
Litere Critica Literara;Irodalomkritika
Istorie Universala;Világtörténelem
Practic Pentru Copii;Gyakorlati könyvek gyerekeknek
Diete;Diéták
Dezvoltare Spirituala;Lelki fejlődés
Cultura Generala;Általános műveltség
Civilizatii Mitologie;Civilizációk, mitológia
Plante Gradinarit;Növények, kertészet
Poezie;Költészet
Carte Prescolara;Óvodai könyvek
Carti educative;Oktatási könyvek
Litere Filologie;Filológia
Arta;Művészet
Carti copii in limbi straine;Gyermekkönyvek idegen nyelveken
Povesti;Mesék
Medicina Pentru Toti;Orvosi könyvek mindenkinek
Desen Muzica Film Teatru;Rajz, zene, film, színház
Biografii;Életrajzok
Litere Etnologie;Etnológia
Atlase Enciclopedii;Atlaszok, enciklopédiák
Filosofie Universala;Egyetemes filozófia
Animale Pasari;Állatok, madarak
Comunicare Jurnalism;Kommunikáció, újságírás
Literatura americana;Amerikai irodalom
Pedagogie Metodica;Pedagógia, módszertan
Ingineri;Mérnöki tudományok
Parapsihologie;Parapszichológia
Carte Juridica;Jogi könyvek
Legislatie;Jogszabályok
Albume Romania;Románia albumai
Comunicare Publicitate;Kommunikáció, reklám
Dezvoltare Profesionala;Szakmai fejlődés
Paranormal;Paranormális jelenségek
Crestinism;Kereszténység
Limbi Straine Copii;Idegen nyelvű könyvek gyerekeknek
