Genre1;Genre
Biografii, memorii, jurnale;Irodalom > Irodalomtörténet > Életrajz
Publicistica si jurnalism;Irodalom > Riportkönyv, tényirodalom
Sociologie, antropologie;Társadalomtudomány > Szociológia
Poezie;Irodalom > Szépirodalom > Vers
Carti ilustrate, interactive;Gyermek- és ifjúsági > Ifjúsági irodalom > 7-10 éveseknek
Economie;Társadalomtudomány > Közgazdaság
Culinare;Életmód, egészség > Gasztronómia
Eseistica;Irodalom > Irodalomtörténet > Esszé
Hobby-uri;Hobbi, szabadidő
Young adult;Gyermek- és ifjúsági > Ifjúsági irodalom > 14 éves kor felett
Fictiuni, povestioare;Irodalom > Szórakoztató irodalom
Sanatate, dezvoltare personala;Életmód, egészség
Istorie generala;Történelem > Világtörténelem
Clasici;Irodalom > Szépirodalom
Dezvoltare personala;Életmód, egészség
Filosofie populara;Társadalomtudomány > Filozófia
Lumea naturii, animale;Természettudomány > Biológia
Dictionare;Szótár, nyelvkönyv
Audiobooks;Egyéb
Romane ilustrate;Művészet > Albumok
Moderni, contemporani;Irodalom > Szépirodalom
Crestinism;Vallás > Kereszténység
Istorie si critica;Történelem
Pictura, grafica, alte forme artistice;Művészet > Festészet
Fantasy;Irodalom > Szórakoztató irodalom > Fantasy
Thriller, horror;Irodalom > Szórakoztató irodalom > Thriller, horror
Alte forme de medicina;Szakkönyv > Orvosi
Inteligenta emotionala;Társadalomtudomány > Pszichológia
Enciclopedii;Szakkönyv > Lexikon, enciklopédia
Piese de teatru, scenarii;Irodalom > Szépirodalom > Színművek
Minte, corp, spirit;Életmód, egészség > Ezotéria
Aventura;Irodalom > Szórakoztató irodalom > Kalandregény
Filosofie non-occidentala;Társadalomtudomány > Filozófia > Keleti filozófia
Romance;Irodalom > Szórakoztató irodalom > Romantikus
Psihologie;Társadalomtudomány > Pszichológia
Relatii internationale;Társadalomtudomány
Muzica;Művészet > Zene
Psihologia varstelor si a sexelor;Társadalomtudomány > Pszichológia
Proza scurta, altele;Irodalom > Szépirodalom > Próza
SF;Irodalom > Szórakoztató irodalom > Sci-fi
