page;rank;title;publisher
1;1;Vadász Ferenc: 2 db könyv, Nyugtalanságok nyara,Ketten a Remete utcából;
1;2;dr Görgei Katalin: Természetgyógyász magazin 1993/1-12. (teljes évfolyam számonként.);1993
1;3;Bangha Béla S.J.: Jellemrajzok - A kath. egyház életéből -második kiadás-második kötet Államférfiak 1914;
1;4;John Taine: The Time Stream - a science fiction novel;Dover Publications, 1971
1;5;6 db mesekönyv/ifjúsági könyv: D.Tóth Kriszta:Bátor könyv + Capek:Dásenka. Egy kis foxi élete + Rodari:Beleestem a tévébe + Lakatos Menyhért:Angárka és Busladarfi + Uszpenszkij:Garanciális garabonciások + Masannek:Leó, a cselkirály. - saját fotó;
1;6;Navpress: Growing In Christ: A Thirteen-Week Follow-Up Course for New and Growing Christians;..., 1980
1;7;Simán Gyula (szerk.), Székely Ernő ( szerk.): A magyar papíripar 20 éve - 1948-1968;Papíripari Vállalat, 1968
1;8;L. Bodo Gőtze: Zweiundzwanzig Stunden Schachunterricht;Verlag Das Schach-Archiv, 1967
1;9;Ulrich Tukur: Die Spieluhr - A zenedoboz (német nyelven);
1;10;J. Fenimore Cooper: The Spy;Progress Publishers, 1975
1;11;cottle-gerry-batten: CONFESSIONS OF A SHOWMAN: MY LIFE IN THE CIRCUS - EGY SHOWMAN VALOMÁSAI: ÉLETEM A CIRKUSZBAN (angol nyelven);2006
1;12;Dr. Schlőr Alajos: Elmélkedések II.-III. (2 kötet, az első hiányzik!);...
1;13;2 db RaRe könyv, Beryl Bainbridge: A varrónő, Günter De Bruyn: A díjátadás;Magvető Kiadó
1;14;Katherine V. Forrest: Daughters of a Coral Dawn (The Coral Dawn Trilogy, 1) - Egy korall hajnal lányai (The Coral Dawn trilógia, 1) (angol nyelven);1984
1;15;N. A. And R. Houwink De Bruyne: Adhesion and Adhesives- Tapadás és ragasztók (angol nyelven);1951
1;16;Michael A. von Hausen: Dynamic Urban Design;2013
1;17;John R. Maxim: the bannerman effect;Bantam Books, 1990
1;18;G. Dénes György: Harang szerenád (Serenad of the bells);Rózsavölgyi És Társa
1;19;Borzsák István (szerk.): Antik tanulmányok-Studia antiqua XLIV. kötet 1-2. szám;Akadémiai Kiadó, 2000
1;20;Borzsák István (szerk.): Antik tanulmányok-Studia antiqua XLIII. kötet 1-2. szám;Akadémiai Kiadó, 1999
1;21;Donald B. Gibson Carol Anselment: Black & White : Stories of American Life Mass Market Paperback;1971
1;22;Fritz Astrid: Unter dem Banner des Kreuzes - Historischer Roman A kereszt zászlaja alatt - történelmi regény, /német nyelvű /;2017
1;23;Josef H. Reichholf Gunter Steinbach: Enzyklopadie der baume und straucher;Mosaik Verlag, 1993
1;24;A bicentennial portrait of the american people;1975
1;25;Egyházfórum 11. - 1990/3.;Egyházfórum, 1990
1;26;Von Dr. Jakob Schmitt: Erklärung des mittleren Deharbeschen Katechismus zunächst für die mittlere und höhere Klasse der Elementarschulen I-III.;Freiburg
1;27;Uray Sándor: A tiszántúli református egyházkerület Debrecenben 1939. február hó 1-én tartott közgyűlésének és rendes bírósági ülésének jegyzőkönyvei;Debrecen, 1939
1;28;Michael Seldow: Die Kunst, Frauen zu zersägen. Grosse Zauberer u. ihre Geheimnisse;Gustav Lübbe Verlag, 1964
1;29;Lázár Vilmos (szerk.): Agrártörténeti szemle XIV. évf. 3-4. szám (1972);MTA, 1972
1;30;Dr. Kaszab Zoltán: 100 éves küzdelem a kolorádóbogár ellen;Népművelési Minisztérium, 1955
1;31;Sharon M. Draper: Copper sun;2006
1;32;Valkovics Edit: Százszínű világ - versek és verses mesék óvodások és kisikolások részére, a serző rajzaival;Szabadka, 2006
1;33;Walter M. Weiss: Nachbarn entdecken rumanien;Orac, 2007
1;34;Kövér István: A Kőszeg környéki vasutak története 1883-1983 - Dedikált! - Dedikált;Szombathely, 1983
1;35;Louis Gardel Mary Higgins Clark Kathrin Rüegg Gann, Ernest, K.: Sélection du Livre - Sélection du Reader's Digest (Prémiere Edition): Fort Saganne - La Clinique du Docteur H. - Une Robinsonne Suisse - L'enfant et L'aviateur;Bruxelles, 1982
1;36;K. Baedaker: Italien von den alpen bis neapel;Leipzig, 1903
1;37;Joseph M. Siracusa: Safe for Democracy - A history of america 1914-1945;1993
1;38;E. Wilson: Der weg nach petersburg;Rütten und Loening, 1963
1;39;Ronald R. Pitfield: Company law - Első oldal firkált;1978
1;40;Szivárvány, irodalmi, művészeti és kritikai szemle 5. szám 1981.;Framo Publishing, 1981
1;41;R-É-K-A 2. Regionális országelemzések Bulgária, Románia, Hollandia, India;EÖTVÖS LORÁND TUDOMÁNYEGYETEM, 2004
1;42;Bodnár László: A végtelen bölcsője anyám - Dedikált! - Dedikált;Magánkiadás, 1998
1;43;Pintér Lajos: A vadszeder útján;Magvető Kiadó, 1989
1;44;Steve Punt Hugh Dennis Jon Holmes: The Now Show Book of World Records - A Now Show világrekordok könyve (angol nyelven);
1;45;Francisco e Jacinta Marto: candeias que Deus acendeu;2012
1;46;Róna Éva (szerk.): Szöveggyűjtemény a XX. század angol irodalmából;Tankönyvkiadó, 1972
1;47;2 db RaRe könyv, W. M. Diggelmann: Én és a falu, Nadine Gordimer: Kései polgárvilág;Magvető Kiadó
1;48;Szép Ernő Zilahy Lajos: Szeretném megölelni a világot + Fehér Hajó (egybekötve);
