page;title;author;publisher;price;score;reviews;language;pages;edition;code;category
1;Nem ezt találtam - Történetek az ember barlangjából;Kőrössi P. József;Noran Kiadó, 2003;15.83;4.5;15;magyar;240;füles, kartonált;9639356891;Könyv > Irodalom > Szépirodalom > Próza > Magyar irodalom > Antológiák
1;Az álmok hatalma - Olimposz lányai 2.;Elena Kedros;Könyvmolyképző Kiadó Kft., 2010;31.65;0;0;magyar;244;keménytábla, védőborító;9789632452388;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 10-14 éveseknek > Kortárs
1;Vámpírnaplók 5. - A visszatérés: Leszáll az éj;Lisa Jane Smith;Könyvmolyképző Kiadó Kft., 2012;26.37;0;0;magyar;478;puhatáblás, ragasztókötött;9789632453590;Könyv > Irodalom > Szórakoztató irodalom > Vámpírregények
1;Zöld zóna - Fejedelmi élet a Smaragdvárosban - Fejedelmi élet a Smaragdvárosban - Az iraki Zöld Zóna belülről;Rajiv Chandrasekaran;Könyvmolyképző Kiadó Kft., 2010;31.65;0;0;magyar;372;fűzve;9789632451534;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Történelmi
1;A tábori püspökség története 1773-1868;Zakar Péter;GERHARDUS KIADÓ, 2010;52.23;0;0;magyar;384;cérnafűzött, keménytáblás;9789638891419;Könyv > Történelem > Magyar történelem > A Monarchia kora
1;A szabadkőművesség;Arató Frigyes;Fraternitas Mercurii Hermetis, 2011;15.83;4.5;15;magyar;70;puhatáblás, ragasztókötött;9786155032028;Könyv > Életmód, egészség > Ezotéria > Okkultizmus, spiritizmus
1;A zenélő gondola - Válogatott novellák 1965-1977;Simonffy András;Holnap Kiadó, 2001;22.16;0;0;magyar;258;kötve;9633464412;Könyv > Irodalom > Szépirodalom > Próza > Magyar irodalom > Elbeszélések, novellák > Kortárs
1;Frankensteintől a zöldekig - a gép és kritikusai - A gép és kritikusai;Kovács Gábor;Liget Műhely Alapítvány, 2010;26.38;0;0;magyar;204;puhatáblás, ragasztókötött;9789639363748;Könyv > Társadalomtudomány > Filozófia > Egyéb
1;A Gránitoroszlán - Stróbl Alajos - STRÓBL ALAJOS;Stróbl Mihály;Holnap Kiadó, 2003;83.36;4.5;15;magyar;352;cérnafűzött, keménytáblás;9789633465622;Könyv > Művészet > Szobrászat
1;Hóhérok és áldozatok - A kínzás pszichológiája;Françoise Sironi;Göncöl Kiadó, 2010;28.81;4.5;15;magyar;252;puhatáblás, ragasztókötött;9789639183681;Könyv > Társadalomtudomány > Pszichológia > Egyéb
1;"Otto """"háborúja"""" - A háború kutyái 12.";Leo Kessler;Duna International Kft., 2011;10.50;4.5;15;magyar;274;puhatáblás, ragasztókötött;9786155013058;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Történelmi
1;A vallás filozófiája;Jász Géza;FRANKLIN-TÁRSULAT KIADÓ, 2011;20.58;0;0;magyar;160;puhatáblás, ragasztókötött;9789638899767;Könyv > Társadalomtudomány > Filozófia > Vallásfilozófia
