Title,Price,Author
Autoportretul unui indaratnic,44.00,CZESLAW MILOSZ
Actuale,54.95,ALBERT CAMUS
Natura poporului,60.00,DEBORAH COHEN
Picatura de intelepciune,21.00,NICOLAE BANICIOIU
Socio-hai-hui prin Arhipelagul Romania,29.95,VINTILA MIHAILESCU
Ciorile din Pearblossom,42.42,ALDOUS HUXLEY
Diagnosticarea organizatiei,36.00,ION POPA
Devianta si delincventa juvenila sub incidenta mass-media,34.00,GABRIEL MUGUREL DRAGOMIR
Secretele vinului,56.00,YVES-MARIE BERCE
Prima mea carte de stiinta,48.00,SUSAN ACASS
Estetica inconstientului,38.00,DANIELA LUCA
Swift si Brainy. Misiunea Viitor,39.90,ANABEL QUIROGA
Uimitoarea culoare de dupa,49.90,EMILY X. R. PAN
George cel curios,29.28,H.A. REY
Bucuria leadershipului,50.00,TAL BEN-SHAHAR
Inauntru-Afarei tale,38.38,TISH RABE
Cum sa-ti reinventezi viata,75.00,JEFFREY E. YOUNG
Soldatii de zinc,59.99,SVETLANA ALEKSIEVICI
Sa nu fiti caldicei!,39.00,CARMEN CIONEA
Comoara din insula,19.90,ROBERT LOUIS STEVENSON
Viforul,18.00,BARBU STEFANESCU DELAVRANCEA
Si daca acesta este raiul?,39.60,ANITA MOORJANI
"Miros, deci exist",54.90,BILL S. HANSSON
Miracole la indemana,32.00,ARIELLE ESSEX
Ursul nu poate sa doarma,24.90,MARNI MCGEE
Cugetarile lui Tony,25.00,GHEORGHIU FRANCISCA M. TONY
Aripile cenusii ale pasarilor pe liniile de inalta tensiune,44.10,ROMINA HAMZEU
Aforisme asupra intelepciunii in viata,20.00,ARTHUR SCHOPENHAUER
Traieste in armonie cu pisica ta,34.00,ENRICO ERCOLE
Dictionar de literatura romana,23.10,FLORENTIN POPESCU
Chirurgie maxilo-faciala - curs,68.00,PROF. DR. ALEXANDRU BUCUR
Taina iubirii,26.00,ANTONIE DE SUROJ
13 lucruri pe care oamenii puternici mental NU le fac,39.90,AMY MORIN
Mafalda,48.48,QUINO
Scarile Levantului,29.95,AMIN MAALOUF
Ceata asta fara noima,38.00,ENRIQUE VILA-MATAS
Cultura monastica ortodoxa la romani,116.00,RADU LUNGU
Manipulatorii si relatiile de cuplu,40.00,ISABELLE NAZARE-AGA
"Eminescu, poem cu poem. Doina. Imparat si proletar. Glossa. Epigonii",6.90,ALEX STEFANESCU
Cum sa-i oferi copilului tau cunostinte enciclopedice,32.00,SUSAN AISEN
Ana,50.00,EM SAVA
Pasari migratoare,85.00,FERNANDO ARAMBURU
Days In Between,15.15,MARIANNA CHRISTOFIDES
1984 - O mie noua sute optzeci si patru,29.95,GEORGE ORWELL
Iepuras s-a pierdut,14.70,HARRY HORSE
Mama tuturor intrebarilor,39.90,REBECCA SOLNIT
Un strain in Olondria,49.00,SOFIA SAMATAR
Nasul,54.00,MARIO PUZO
Creierul vindecator,55.00,NORMAN DOIDGE
Agilitatea emotionala,49.99,SUSAN DAVID
Ultimul zbor,59.00,JULIE CLARK
Linia de contur,60.00,DANIEL CRISTEA-ENACHE
Erewhon,24.95,SAMUEL BUTLER
Monahul si scribul,98.00,ALIN SUCIU
Am vazut sfarsitul lumii. Volumul 1,20.00,N/A
Cenusareasa,45.00,CHARLES PERRAULT
"Entropie, Volatilitate. Entropy, Volatility",24.56,N/A
Chestionare pentru obtinerea permisului de conducere auto - Categoria B,75.90,N/A
Singur in multime,34.00,VLADIMIR MAIAKOVSKI
Atelierele stiintifice si lumea,49.90,ROBERT P. CREASE
Berezina,15.00,SYLVAIN TESSON
Ghemotoc Zgomotoc,34.00,DOINA ZAVADSCHI
Povesti de noapte buna,67.00,ANGELA MCALLISTER
Nea Ion,12.72,GABRIEL COSTAN
Fă-o timp de o zi!,49.00,MARK BATTERSON
Vulturii desertului,35.00,KARL MAY
Scrisoare catre Dorothea,89.90,GABRIEL LIICEANU
Jurnal de toamna,115.00,CRISTIANA ALEXANDRA LUPSEA
Hartile sensului,99.00,JORDAN B. PETERSON
Cu ultima suflare,49.99,PAUL KALANITHI
Cantecul lebedelor,44.90,KELLEIGH GREENBERG-JEPHCOTT
Calul lui Decebal,15.00,NICOLAE CONSTANTIN PETRESCU
Luna is typing,38.00,DORIN COZAN
Daisy Miller,47.20,HENRY JAMES
Baiatul care a imblanzit vantul,49.90,WILLIAM KAMKWAMBA
Harti ale emotiilor mele,69.00,BIMBA LANDMANN
How To - Cum Sa,55.00,RANDALL MUNROE
Inapoi in viata mea. Volumul I,32.00,ALINA DUMITRESCU
Psihogenealogia,49.00,ANNE ANCELIN SCHUTZENBERGER
Evanghelia dupa Luca,6.30,N/A
Atelier de restaurari teatrale,54.00,MARIA RUNCAN
Algebra fericirii,39.00,SCOTT GALLOWAY
Mijloacele de protectie a drepturilor creditorului,55.00,COSMIN-RAZVAN MIHAILA
Un sat in pericol,32.00,NINA PETRICK
Magarus-Urechius,39.00,ROGER DWOISIN
Noua Europa,59.95,IORDAN GHEORGHE BARBULESCU
15 imagini ritmice. Fictiuni de jazz,20.00,MARIUS POPP
Interior. Chinatown,53.00,CHARLES YU
Inconfortabil,34.95,AURORA LIICEANU
