Author;Author_Std
CZESLAW MILOSZ;czeslaw milosz
ALBERT CAMUS;albert camus
DEBORAH COHEN;deborah cohen
NICOLAE BANICIOIU;nicolae banicioiu
ALDOUS HUXLEY;aldous huxley
ION POPA;ion popa
YVES-MARIE BERCE;yvesmarie berce
SUSAN ACASS;susan acass
DANIELA LUCA;daniela luca
ANABEL QUIROGA;anabel quiroga
EMILY X. R. PAN;emily x r pan
H.A. REY;ha rey
TAL BEN-SHAHAR;tal benshahar
SVETLANA ALEKSIEVICI;svetlana aleksievici
ROBERT LOUIS STEVENSON;robert louis stevenson
BARBU STEFANESCU DELAVRANCEA;barbu stefanescu delavrancea
ANITA MOORJANI;anita moorjani
ARIELLE ESSEX;arielle essex
MARNI MCGEE;marni mcgee
GHEORGHIU FRANCISCA M. TONY;gheorghiu francisca m tony
ARTHUR SCHOPENHAUER;arthur schopenhauer
ENRICO ERCOLE;enrico ercole
FLORENTIN POPESCU;florentin popescu
ANTONIE DE SUROJ;antonie de suroj
QUINO;quino
AMIN MAALOUF;amin maalouf
RADU LUNGU;radu lungu
ALEX STEFANESCU;alex stefanescu
EM SAVA;em sava
FERNANDO ARAMBURU;fernando aramburu
MARIANNA CHRISTOFIDES;marianna christofides
REBECCA SOLNIT;rebecca solnit
SOFIA SAMATAR;sofia samatar
MARIO PUZO;mario puzo
NORMAN DOIDGE;norman doidge
SUSAN DAVID;susan david
JULIE CLARK;julie clark
DANIEL CRISTEA-ENACHE;daniel cristeaenache
SAMUEL BUTLER;samuel butler
ALIN SUCIU;alin suciu
CHARLES PERRAULT;charles perrault
VLADIMIR MAIAKOVSKI;vladimir maiakovski
ROBERT P. CREASE;robert p crease
SYLVAIN TESSON;sylvain tesson
DOINA ZAVADSCHI;doina zavadschi
ANGELA MCALLISTER;angela mcallister
GABRIEL COSTAN;gabriel costan
MARK BATTERSON;mark batterson
KARL MAY;karl may
GABRIEL LIICEANU;gabriel liiceanu
CRISTIANA ALEXANDRA LUPSEA;cristiana alexandra lupsea
JORDAN B. PETERSON;jordan b peterson
PAUL KALANITHI;paul kalanithi
NICOLAE CONSTANTIN PETRESCU;nicolae constantin petrescu
DORIN COZAN;dorin cozan
HENRY JAMES;henry james
WILLIAM KAMKWAMBA;william kamkwamba
BIMBA LANDMANN;bimba landmann
ALINA DUMITRESCU;alina dumitrescu
ANNE ANCELIN SCHUTZENBERGER;anne ancelin schutzenberger
ANTHONY DE MELLO;anthony de mello
MARIA RUNCAN;maria runcan
SCOTT GALLOWAY;scott galloway
NINA PETRICK;nina petrick
ROGER DWOISIN;roger dwoisin
IORDAN GHEORGHE BARBULESCU;iordan gheorghe barbulescu
MARIUS POPP;marius popp
CHARLES YU;charles yu
AURORA LIICEANU;aurora liiceanu
TIMOTHY SNYDER;timothy snyder
SAMUEL BECKETT;samuel beckett
EMILE PICOT;emile picot
GEORGE V. GRIGORE;george v grigore
ALEXANDRA PAZGU;alexandra pazgu
SMEU GE;smeu ge
E.A. DAL MASCHIO;ea dal maschio
ELVIRA BOGOS;elvira bogos
SJON;sjon
H.Q. MITCHELL;hq mitchell
ANDREI PAP;andrei pap
MARIAN ILEA;marian ilea
TITU POPESCU;titu popescu
ALICE SCHERLETE;alice scherlete
GHEORGHE H. POPESCU;gheorghe h popescu
PATRICK LUCA;patrick luca
TERESA ONATE;teresa onate
DUMITRU MANOLACHE;dumitru manolache
EOIN COLFER;eoin colfer
MARIUS SPIRIDON;marius spiridon
CORINA IONICA GHEORGHIU;corina ionica gheorghiu
XAVIER TILLIETTE;xavier tilliette
LEV TOLSTOI;lev tolstoi
CODIN MATICIUC;codin maticiuc
MARIAN VICTOR BUCIU;marian victor buciu
VIORICA SANDU POTRA;viorica sandu potra
STEFAN CIOBANU;stefan ciobanu
DIZZ TATE;dizz tate
GEORGE C. DUMITRU;george c dumitru
JESSICA BRUDER;jessica bruder
JOSH MALERMAN;josh malerman
DINU C. GIURESCU;dinu c giurescu
LIVIU CANGEOPOL;liviu cangeopol
MIHAI GAINUSA;mihai gainusa
JAMES RAYBURN;james rayburn
ALAN WATTS;alan watts
ECATERINA SARBU;ecaterina sarbu
SABIN GILCEAVA;sabin gilceava
KERRY ARADHYA;kerry aradhya
PRINCIPESA SOFIA A ROMANIEI;principesa sofia a romaniei
TONY WOLF;tony wolf
WOLFGANG AMADEUS MOZART;wolfgang amadeus mozart
ANA DRAGU;ana dragu
WILLIAM RICHARDS;william richards
QUENTIN MEILLASSOUX;quentin meillassoux
JERRY A. COYNE;jerry a coyne
MISTY BLACK;misty black
C.G. SWEETING;cg sweeting
TRACY CHEVALIER;tracy chevalier
MARIETTA DOBRIN;marietta dobrin
JENNY HAN;jenny han
GAVRIIL PREDA;gavriil preda
WILLIAM SHAKESPEARE;william shakespeare
SANTA MONTEFIORE;santa montefiore
SEAN SMITH;sean smith
GINO WICKMAN;gino wickman
IOAN DAMASCHIN;ioan damaschin
IONUT MLADIN;ionut mladin
HEIDI LOREY;heidi lorey
IOANA ISAC;ioana isac
GABRIELA MAALOUF;gabriela maalouf
KERRI MAHER;kerri maher
NICOLETA MARINESCU;nicoleta marinescu
LEWIS CARROLL;lewis carroll
GHIZELA COSMA;ghizela cosma
MIHAI MANESCU;mihai manescu
ERNEST HEMINGWAY;ernest hemingway
REBECCA TINKER;rebecca tinker
IOAN SLAVICI;ioan slavici
IRIS WOLFF;iris wolff
MACEDON TOFENI;macedon tofeni
CHRISTINEPALLUY;christinepalluy
DAN CRISTEA;dan cristea
DANIEL MEUROIS;daniel meurois
F. SCOTT FITZGERALD;f scott fitzgerald
MARIUS MIHALCA;marius mihalca
GOLIARDA SAPIENZA;goliarda sapienza
T.J. KLUNE;tj klune
CHRIS PETERSON;chris peterson
A. E. MIRON;a e miron
BAIU COSMIN;baiu cosmin
ANGELA MUNTEAN;angela muntean
SACHE NECULAESCU;sache neculaescu
LORI EVERT;lori evert
DALE CARNEGIE;dale carnegie
ADRIAN MIROIU;adrian miroiu
DANIELA PRUSSE;daniela prusse
MARIUS MARIAN SOLEA;marius marian solea
ANCA SINCAN;anca sincan
SIGMUND FREUD;sigmund freud
WALTER BORON;walter boron
DENIS DUTTON;denis dutton
NADIA TERRANOVA;nadia terranova
LOUIS MONIER;louis monier
MARLENE JABLONSKI;marlene jablonski
SARA NEGURA;sara negura
MANTAK CHIA;mantak chia
PAUL DOLAN;paul dolan
DANIELA BESLIU;daniela besliu
GREGORY RATEAU;gregory rateau
BOGDAN MUNTEANU;bogdan munteanu
ROBERT SOKOLOWSKI;robert sokolowski
DANIELA FAUR;daniela faur
TONI MORRISON;toni morrison
HUGH LOFTING;hugh lofting
AUREL DUMITRASCU;aurel dumitrascu
HAN FEIZI;han feizi
OZGE ALTINOK LOKMANHEKIM;ozge altinok lokmanhekim
MARCO ANDREATTA;marco andreatta
FERNANDEZ DOMINIQUE;fernandez dominique
ION LUCA CARAGIALE;ion luca caragiale
MAHMOUD SHUKAIR;mahmoud shukair
LAURA PAVEL;laura pavel
LUMINITA ALBU;luminita albu
OANA FILIP;oana filip
WAYNE W. DYER;wayne w dyer
BEATRICE HOLDON;beatrice holdon
ION CRISTOFOR;ion cristofor
CRISTINA STRUTEANU;cristina struteanu
MINDY THOMAS;mindy thomas
CATALIN OLTEANU HEEL;catalin olteanu heel
TEODORA VESCAN;teodora vescan
AUGUSTIN IOAN;augustin ioan
LUMINITA BATALI;luminita batali
SERGHIE CETVERIKOV;serghie cetverikov
MAURA GANCITANO;maura gancitano
PETRU JELESCU;petru jelescu
EMILIE CHAZERAND;emilie chazerand
BERNIE ASHMAN;bernie ashman
ANA ARDELEANU;ana ardeleanu
DANIEL SUR;daniel sur
ROANN BARRIS;roann barris
ULRICH BURGER;ulrich burger
SARAH J. MAAS;sarah j maas
ANA MARIA DUCUTA;ana maria ducuta
ION POP;ion pop
D.H. LAWRENCE;dh lawrence
ANDREI BREABAN;andrei breaban
ALLY CARTER;ally carter
E. NESBIT;e nesbit
KATHARINE MCEWEN;katharine mcewen
DAN RAMF;dan ramf
LIVIU MIRCEA;liviu mircea
GINA WILKINSON;gina wilkinson
JAN WOLKERS;jan wolkers
MICHELLE ANTHONY;michelle anthony
ALFRED MENDELSOHN;alfred mendelsohn
JOSEF KUNC;josef kunc
JAMIE AMBROSE;jamie ambrose
AURORA GEORGESCU;aurora georgescu
