Genre1;Genre1_Std
Biografii, memorii, jurnale;biografii memorii jurnale
Publicistica si jurnalism;publicistica si jurnalism
Sociologie, antropologie;sociologie antropologie
Poezie;poezie
Carti ilustrate, interactive;carti ilustrate interactive
Economie;economie
Culinare;culinare
Eseistica;eseistica
Hobby-uri;hobbyuri
Young adult;young adult
Fictiuni, povestioare;fictiuni povestioare
Sanatate, dezvoltare personala;sanatate dezvoltare personala
Istorie generala;istorie generala
Clasici;clasici
Dezvoltare personala;dezvoltare personala
Raftul autorilor români;raftul autorilor romani
Filosofie populara;filosofie populara
Lumea naturii, animale;lumea naturii animale
Dictionare;dictionare
Audiobooks;audiobooks
Romane ilustrate;romane ilustrate
Moderni, contemporani;moderni contemporani
Crestinism;crestinism
Istorie si critica;istorie si critica
Pictura, grafica, alte forme artistice;pictura grafica alte forme artistice
Fantasy;fantasy
Thriller, horror;thriller horror
Alte forme de medicina;alte forme de medicina
Inteligenta emotionala;inteligenta emotionala
Enciclopedii;enciclopedii
Piese de teatru, scenarii;piese de teatru scenarii
Minte, corp, spirit;minte corp spirit
Aventura;aventura
Filosofie non-occidentala;filosofie nonoccidentala
Romance;romance
Psihologie;psihologie
Raftul Brand Minds;raftul brand minds
Relatii internationale;relatii internationale
Muzica;muzica
Psihologia varstelor si a sexelor;psihologia varstelor si a sexelor
Proza scurta, altele;proza scurta altele
SF;sf
Istoria filosofiei occidentale;istoria filosofiei occidentale
Carte;carte
Drept civil;drept civil
Estetica;estetica
Psihologia sociala si de grup;psihologia sociala si de grup
Enciclopedii, dictionare, atlase;enciclopedii dictionare atlase
Metafizica si ontologie;metafizica si ontologie
Istorie;istorie
Stima de sine, incredere si motivatie;stima de sine incredere si motivatie
Tehnici de management;tehnici de management
Istoria romanilor;istoria romanilor
Filosofie;filosofie
Istoria stiintei si generalitati;istoria stiintei si generalitati
Fictiune;fictiune
Business;business
Epistemologie, teoria cunoasterii;epistemologie teoria cunoasterii
Casa, gradina, familie;casa gradina familie
Psihologia copilului si dezvoltarii;psihologia copilului si dezvoltarii
Materiale educationale;materiale educationale
Relatia de cuplu;relatia de cuplu
Lifestyle, sport, timp liber;lifestyle sport timp liber
Matematica;matematica
Teorie generala, scoli;teorie generala scoli
Preclinic: anatomie, fiziologie;preclinic anatomie fiziologie
Arta, arhitectura;arta arhitectura
Citit de Scena9;citit de scena9
Arhitectura;arhitectura
Istoria artei;istoria artei
Astrologie;astrologie
Parenting;parenting
Tehnologie: generalitati;tehnologie generalitati
Fitness si dieta;fitness si dieta
Generalitati, istoria religiilor;generalitati istoria religiilor
Poezii, antologii;poezii antologii
Finante si contabilitate;finante si contabilitate
Drept penal;drept penal
Mindfulness;mindfulness
Eu, ego, identitate, personalitate;eu ego identitate personalitate
Obiceiuri si stil de viata;obiceiuri si stil de viata
Psihoterapie;psihoterapie
Crime, mister;crime mister
Filosofia mintii;filosofia mintii
Psihiatrie, psihologie clinica, terapii;psihiatrie psihologie clinica terapii
Psihologia ocupationala;psihologia ocupationala
Dans, performing arts;dans performing arts
Psihologia cognitiva;psihologia cognitiva
Educatie;educatie
Carti de colorat pentru copii;carti de colorat pentru copii
Istoria Europei;istoria europei
Studii culturale;studii culturale
Calatorii;calatorii
Filosofie social-politica;filosofie socialpolitica
Psihologia familiei;psihologia familiei
Antologii;antologii
Pentru prieteni;pentru prieteni
Istorie universala;istorie universala
Islam;islam
Fictiune mitologica si istorica;fictiune mitologica si istorica
Rafturi alese;rafturi alese
Filosofia limbajului;filosofia limbajului
Arta comerciala si industriala;arta comerciala si industriala
Drept;drept
Benzi desenate;benzi desenate
Numerologie;numerologie
