Publisher;Publisher_Std
Ratio et Revelatio;ratio et revelatio
Polirom;polirom
Tact;tact
Ideea Europeana;ideea europeana
Vlad si cartea cu Genius;vlad si cartea cu genius
Pro Universitaria;pro universitaria
Cartea Romaneasca Educational;cartea romaneasca educational
Didactica Publishing House;didactica publishing house
Herald;herald
Linghea;linghea
Epica;epica
Arthur;arthur
Curtea Veche Publishing;curtea veche publishing
Litera;litera
Cartex;cartex
Hoffman;hoffman
Adevar Divin;adevar divin
Letras;letras
Saeculum I.O.;saeculum io
ACT si Politon;act si politon
Grafic;grafic
Paideia;paideia
ALL;all
Siono;siono
Trei;trei
MNAC;mnac
Black Button Books;black button books
Paladin;paladin
RAO;rao
Paralela 45;paralela 45
Spandugino;spandugino
Prut;prut
Tracus Arte;tracus arte
Univers;univers
Humanitas Junior;humanitas junior
Vremea;vremea
Dexon;dexon
Humanitas;humanitas
Jucarii Vorbarete;jucarii vorbarete
Nemira;nemira
Humanitas Multimedia;humanitas multimedia
Corint;corint
Signatura;signatura
Mix;mix
Publica;publica
Booklet;booklet
Portocala Albastra;portocala albastra
Grafoart;grafoart
Europa Editions (UK) Ltd;europa editions uk ltd
Miracol;miracol
Rovimed;rovimed
MM Publications;mm publications
Universul Juridic;universul juridic
Cartea Romaneasca;cartea romaneasca
Limes;limes
Economica;economica
Creator;creator
Trinitas;trinitas
Createrra;createrra
Joy;joy
Agora;agora
Europress Group;europress group
Eikon;eikon
Alice Books;alice books
Integral;integral
Crime Scene Press;crime scene press
Cristian PlusArt;cristian plusart
Frontiera;frontiera
Miidecarti;miidecarti
National;national
Evenimentul si Capital;evenimentul si capital
Institutul European;institutul european
Act si Politon;act si politon
Militara;militara
Casa;casa
Cartego;cartego
Bookzone;bookzone
Humanitas Fiction;humanitas fiction
Mega;mega
Lebada Neagra;lebada neagra
Castrum de Thymes;castrum de thymes
Niculescu;niculescu
Solisis;solisis
MM Learning Center;mm learning center
Pandora M;pandora m
Storia Books;storia books
M.A.S.T.;mast
Evrika Publishing;evrika publishing
Tritonic;tritonic
