year;page;title;average_score;votes;price;categories;author;publisher;cover_type;publication_year;num_pages;format;code
1977;1;Spectru Intim - Virgil Razesu;0;0;10.5;Memorii Jurnal;Virgil Razesu;RAZESU;Necartonata;1977;224;200 x 140 mm;RAZ973-96276-5-X
1992;1;Ten Women, Ten Stories - M. Whitaker, J. Thurber, R. Dahl;0;0;69;Engleza;Roald Dahl, James Thurber, Malachi Whitaker;BLACK CAT;Necartonata;1992;176;235 x 165 x 10 mm;EEE978-88-7754-749-1
1993;1;Scrieri Vol.1 - Bogdan Petriceicu Hasdeu;0;0;94.5;Literatura Romana;Bogdan Petriceicu Hasdeu;STIINTA;Cartonata;1993;416;220 x 150 mm;STI5-376-01487-8
1993;1;Despre Sinucidere - Emile Durkheim;0;0;44;Sociologie;Emile Durkheim;INSTITUTUL EUROPEAN;null;1993;422;54x84;INE978-973-611-473-1
1993;1;The Picture of Dorian Gray + CD - Oscar Wilde;0;0;67;Beletristica Limbi Straine;Oscar Wilde;BLACK CAT;Necartonata;1993;320;200 x 130 x 24 mm;EEE978-88-7754-132-1
1995;1;Ne vorbeste Parintele Cleopa 2;5;3;12;Carte Ortodoxa;null;EPISCOPIA ROMANULUI;null;1995;142;200 x 130 mm;EPI973-00000-002
1995;1;Tricolorul Romaniei - Adina Berciu-Draghicescu;0;0;24.7;Istoria Romanilor;Adina Berciu-Draghicescu;SIGMA;Cartonata;1995;160;240 x 170 mm;SIG973-9077-48-X
1995;1;Femeia pierduta - Jude Deveraux;4;1;19;Romane de dragoste, Carti romantice, Literatura Universala;Jude Deveraux;MIRON;null;1995;256;200 x 130 cm;MRO978-973-1789-59-0
1995;1;Printre Morti - Michael Tolkin;0;0;18.819;Literatura contemporana;Michael Tolkin;RAO;null;1995;272;180 x 110 mm;RAO973-9164-93-5
1996;1;Psihologie generala - Andrei Cosmovici;5;1;46.55;Psihologie, psihanaliza, logica;Andrei Cosmovici;POLIROM;Necartonata;1996;256;235 x 160 mm;POL973-9248-27-6
1996;1;Ne vorbeste Parintele Cleopa 4;5;2;12;Carte Ortodoxa;null;EPISCOPIA ROMANULUI;Necartonata;1996;142;200 x 130 mm;EPI973-00000-004
1996;1;Voices from Inside - M. Shelley, R. L. Stevenson, E. Bronte;0;0;72;Engleza;Mary Shelley, Robert Louis Stevenson, Emily Bronte;BLACK CAT;Necartonata;1996;224;235 x 165 x 13 mm;EEE978-88-775-4750-7
1996;1;A World of Difference - R. Dahl, B. MacLaverty, G. Greene;0;0;67;Engleza;Roald Dahl, Graham Greene, Bernard Maclaverty;BLACK CAT;Necartonata;1996;160;235 x 165 x 9 mm;EEE978-88-7754-268-7
1997;1;Ne vorbeste Parintele Cleopa 1;5;2;12;Carte Ortodoxa;null;EPISCOPIA ROMANULUI;null;1997;144;200 x 130 mm;EPI973-00000-001
1997;1;Ghidul medicului de garda - Mircea Beuran, Gerald Popa;5;3;39.9;Medicina;Mircea Beuran, Gerald Popa;SCRIPTA;Necartonata;1997;368;200 x 120 mm;SCT973-9161-58-9
1997;1;Ghid de urgente pediatrice - Mircea Beuran, Coriolan Ulmeanu;5;1;27;Medicina;Mircea Beuran, Coriolan Ulmeanu;SCRIPTA;Necartonata;1997;128;205 x 120 mm;SCT973-9161-58-8
1997;1;Rezistenta antisovietica in Basarabia 1944-1950 - Elena Postica;0;0;29.9;Istoria Romanilor;Elena Postica;STIINTA;Necartonata;1997;240;200 x 130 mm;STI9975-67-045-8
1998;1;Ghid de urgente in ginecologie-obstetrica - Gabriel Banceanu;5;2;20;Medicina;Gabriel Banceanu;SCRIPTA;Necartonata;1998;76;205X120;SCT973-9161-76-6
1998;1;Sfanta taina a spovedaniei pe intelesul tuturor - Ioachim Parvulescu;0;0;27;Carte Ortodoxa;Ioachim Parvulescu;ALBEDO;Cartonata;1998;128;205 x 135 x 10 mm;ABD973-98103-0-6-000
1998;1;Ghid de urgente in ORL, oftalmologie si chirurgie cervico-oro-maxilo-faciala - Mircea Beuran, Daniel Oanta, Monica Pop;0;0;21;Medicina;Mircea Beuran, Daniel Oanta, Monica Pop;SCRIPTA;Necartonata;1998;112;205X120;SCT973-9161-75-8
1998;1;Spionaj - Ernest Volkman;0;0;21.242;Literatura Universala;Ernest Volkman;RAO;Necartonata;1998;315;180 x 110;RAO973-98627-4-8
1998;1;Ghid de urgente in chirurgia generala - Mircea Beuran;2;1;25;Medicina;Mircea Beuran;SCRIPTA;Necartonata;1998;142;200 x 120 mm;SCT973-9161-61-8
1998;1;Infrunta viitorul - Elizabeth Hand;5;1;16.991;SF & Fantasy, Romane SF, Literatura Universala;Elizabeth Hand;RAO;Necartonata;1998;128;180 x 110 x 10 mm;RAO973-98626-5-9
1998;1;Opium - Colin Falconer;3.5;2;47.9;Literatura Universala;Colin Falconer;DEXON;Necartonata;1998;496;200 x 130 x 27 mm;DEX973-97079-7-1
1998;1;Invitatie in iad - Dumitru Crihan;0;0;29.4;Memorii Jurnal;Dumitru Crihan;STIINTA;Necartonata;1998;270;200 x 130 mm;STI9975-667-057-1
1998;1;Gustoase si ieftine - Alexandre Dumas;5;3;3;Bucatarie;Alexandre Dumas;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-96734-3-1
1998;1;Sunteti anemici? - Auguste Moll Weis;5;2;3;Bucatarie;Auguste Moll-Weis;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-23-1
1998;1;Cereale - Maurice Messegue;5;2;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-44-0
1998;1;Maine Taiem Porcul! - D. Brindu;5;3;3;Bucatarie;Doina Brindu;VENUS;Necartonata;1998;79;200 x 130;VEN974-9024-22-X
1998;1;Vreti sa va ingrasati? - Auguste Moll Weis;5;2;3;Bucatarie;Auguste Moll-Weis;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-56-4
1998;1;Feriti-va de Ateroscleroza! - Auguste Moll-Weis;0;0;3;Bucatarie;Auguste Moll-Weis;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-12-2
1998;1;Alune, nuci, migdale... - Maurice Messegue;5;1;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-69-7
1998;1;Gheena - Lewis Ganett;2;2;4.344;Carti thriller;Lewis Ganett;RAO;Necartonata;1998;192;180 x 110 x 10 mm;RAO973-98626-4-0
1998;1;Citricele - Maurice Messegue;5;1;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-45-8
1998;1;Strugurii - Maurice Messegue;5;1;3;Bauturi;Maurice Messegue;VENUS;Necartonata;1998;80;200 x 130 mm;VEN973-9024-44-2
1998;1;Four Continents + CD - Nadine Gordimer, Chinua Achebe;0;0;61;Beletristica Limbi Straine;Chinua Achebe, Nadine Gordimer;BLACK CAT;Necartonata;1998;256;200 x 130 x 19 mm;EEE978-887-754-3288
1998;1;An Ideal Husband - Oscar Wilde;0;0;56;Engleza;Oscar Wilde;BLACK CAT;Necartonata;1998;128;235 x 165 x 7 mm;EEE978-88-775-4404-9
1999;1;Epopeea lui Ghilgames;5;5;21;Istorie, Literatura Universala;null;INSTITUTUL EUROPEAN;null;1999;78;240 x 170 mm;INE978-973-611-034-4
1999;1;Ghid de urgente in medicina interna - Mircea Beuran;5;3;36.99;Medicina;Mircea Beuran;SCRIPTA;Necartonata;1999;304;210 x 150 mm;SCT973-9161-84-7
1999;1;Olimpiadele de matematica cls 8 1990-1998 - A. Blaga, A. Balauca;0;0;10;Culegeri Auxiliare;A. Blaga, A. Balauca;GIL;null;1999;160;200 x 130 cm;GIL973-9238-60-2
1999;1;Ne vorbeste Parintele Cleopa 9;0;0;12;Carte Ortodoxa;null;EPISCOPIA ROMANULUI;null;1999;144;200 x 130 mm;EPI973-00000-009
1999;1;Potiuni magice - Gerina Dunwich;4;2;25.99;Magie;Gerina Dunwich;DEXON;Necartonata;1999;160;200 x 130 mm;DEX973-701-6874-22
1999;1;Al cui chip sa purtam? - Nicodim Mandita;0;0;10;Carte Ortodoxa;Nicodim Mandita;AGAPIS;Necartonata;1999;124;210 x 150 x 6 mm;AGA978-973-9434-17-1
1999;1;Khora. Teme si dificultati ale relatiei dintre filosofie si arhitectura - Augustin Ioan;0;0;28;Arhitectura;Augustin Ioan;PAIDEIA;Necartonata;1999;156;200 x 145 x 9;PAI978-973-936-848-3
1999;1;Ghid de manevre medicale si colaborare medic-asistenta - Mircea Beuran;3;2;27.99;Medicina;Mircea Beuran;SCRIPTA;Necartonata;1999;206;210X150;SCT973-9161-85-3
