Author;Author_Std
Virgil Razesu;virgil razesu
Roald Dahl, James Thurber, Malachi Whitaker;roald dahl james thurber malachi whitaker
Bogdan Petriceicu Hasdeu;bogdan petriceicu hasdeu
Emile Durkheim;emile durkheim
Oscar Wilde;oscar wilde
;
Adina Berciu-Draghicescu;adina berciudraghicescu
Jude Deveraux;jude deveraux
Michael Tolkin;michael tolkin
Andrei Cosmovici;andrei cosmovici
Mary Shelley, Robert Louis Stevenson, Emily Bronte;mary shelley robert louis stevenson emily bronte
Roald Dahl, Graham Greene, Bernard Maclaverty;roald dahl graham greene bernard maclaverty
Mircea Beuran, Gerald Popa;mircea beuran gerald popa
Mircea Beuran, Coriolan Ulmeanu;mircea beuran coriolan ulmeanu
Elena Postica;elena postica
Gabriel Banceanu;gabriel banceanu
Ioachim Parvulescu;ioachim parvulescu
Mircea Beuran, Daniel Oanta, Monica Pop;mircea beuran daniel oanta monica pop
Ernest Volkman;ernest volkman
Mircea Beuran;mircea beuran
Elizabeth Hand;elizabeth hand
Colin Falconer;colin falconer
Dumitru Crihan;dumitru crihan
Alexandre Dumas;alexandre dumas
Auguste Moll-Weis;auguste mollweis
Maurice Messegue;maurice messegue
Doina Brindu;doina brindu
Lewis Ganett;lewis ganett
Chinua Achebe, Nadine Gordimer;chinua achebe nadine gordimer
A. Blaga, A. Balauca;a blaga a balauca
Gerina Dunwich;gerina dunwich
Nicodim Mandita;nicodim mandita
Augustin Ioan;augustin ioan
Helmuth Frisch;helmuth frisch
Karl Christian Felmy;karl christian felmy
Mircea Georgescu;mircea georgescu
Adrian Nicolescu;adrian nicolescu
Autor Anonim;autor anonim
Armand Lebault;armand lebault
Dr. Gottschalk;dr gottschalk
I. Nicolau;i nicolau
Kahlil Gibran;kahlil gibran
Ovidiu Drimba;ovidiu drimba
Graham Hancock;graham hancock
Lidia Nica-Udangiu, Dan Prelipceanu, Radu Mihailescu, Mircea Beuran;lidia nicaudangiu dan prelipceanu radu mihailescu mircea beuran
James Redfield;james redfield
Arhimandritul Ioannikios;arhimandritul ioannikios
N. Mateescu;n mateescu
Mihai Eminescu;mihai eminescu
Francesca Simon;francesca simon
Cornelia Mot;cornelia mot
Andreas Schmenk, Rainer Kothe, Arno Watjen;andreas schmenk rainer kothe arno watjen
Roy Eugene Davis;roy eugene davis
Corneliu Dimitriu;corneliu dimitriu
Hans-Christian Huf;hanschristian huf
Octavian Goga;octavian goga
Tudor Stavila;tudor stavila
Judith Krantz;judith krantz
Nicholas Ray;nicholas ray
Florin Biciusca;florin biciusca
D.E. Du Brin;de du brin
C.A. Alboniti;ca alboniti
Gina D. B. Clemen;gina d b clemen
Sotos Hondropoulos;sotos hondropoulos
Morihei Ueshiba;morihei ueshiba
Ioan Slavici;ioan slavici
Jack London;jack london
Robert S. Porter, Justin L. Kaplan;robert s porter justin l kaplan
Georgiana-Ozana Tache;georgianaozana tache
Ana-Maria Plamadeala;anamaria plamadeala
Elia Citterio;elia citterio
Ana Simac;ana simac
Artur Gorovei;artur gorovei
Gheorghe Grigurcu;gheorghe grigurcu
Cristina Ionescu, Adrian Costache, Luminita Cornea, Gherghe Lazarescu;cristina ionescu adrian costache luminita cornea gherghe lazarescu
John E. Hancock;john e hancock
M. Messegue;m messegue
Eduard Baltzer;eduard baltzer
Michel Bontemps, Maurice Messegue;michel bontemps maurice messegue
Auguste Moll-Weiss;auguste mollweiss
Lewis Carroll;lewis carroll
Ileana Andreescu;ileana andreescu
Don Miguel Ruiz;don miguel ruiz
Gustave Le Bon;gustave le bon
Vladimir Volkoff;vladimir volkoff
Grigore Alexandrescu;grigore alexandrescu
George Cosbuc;george cosbuc
Cleopa Ilie;cleopa ilie
Osho;osho
Flaviu Calin Rus;flaviu calin rus
Hector Malot;hector malot
F. Scott Fitzgerald;f scott fitzgerald
Anarghiros I. Kalliatsos;anarghiros i kalliatsos
Cornel I. Scafes, Horia Vl. Serbanescu;cornel i scafes horia vl serbanescu
Icu Constantin, Ana Stoica-Constantin;icu constantin ana stoicaconstantin
Gheorghios S. Kroustalakis;gheorghios s kroustalakis
Magdalena Niculescu;magdalena niculescu
Mirela Rizea-Marinescu;mirela rizeamarinescu
Costin Carp;costin carp
Larousse;larousse
Victor Hugo;victor hugo
Victoria Lepage;victoria lepage
Ion Rosetti-Balanescu, Alexandru Baicoianu, Constantin Hamangiu;ion rosettibalanescu alexandru baicoianu constantin hamangiu
Svetlana Badrajan;svetlana badrajan
I. L. Georgescu;i l georgescu
Pavel Balan;pavel balan
Alexandru Lupas, Luciana Lupas;alexandru lupas luciana lupas
Titu Andreescu, Dorin Andrica;titu andreescu dorin andrica
Ioan De Kronstadt;ioan de kronstadt
Daniel Defoe;daniel defoe
