Genre1;Genre1_Std
Memorii Jurnal;memorii jurnal
Engleza;engleza
Literatura Romana;literatura romana
Sociologie;sociologie
Beletristica Limbi Straine;beletristica limbi straine
Carte Ortodoxa;carte ortodoxa
Istoria Romanilor;istoria romanilor
Romane de dragoste;romane de dragoste
Literatura contemporana;literatura contemporana
Psihologie;psihologie
Medicina;medicina
Literatura Universala;literatura universala
SF & Fantasy;sf  fantasy
Bucatarie;bucatarie
Terapii Alternative;terapii alternative
Carti thriller;carti thriller
Bauturi;bauturi
Istorie;istorie
Culegeri Auxiliare;culegeri auxiliare
Magie;magie
Arhitectura;arhitectura
Atlase;atlase
Litere Critica Literara;litere critica literara
Istorie Universala;istorie universala
Practic Pentru Copii;practic pentru copii
Diete;diete
Dezvoltare Spirituala;dezvoltare spirituala
Cultura Generala;cultura generala
Civilizatii Mitologie;civilizatii mitologie
Plante Gradinarit;plante gradinarit
Poezie;poezie
Carte Prescolara;carte prescolara
Carti educative;carti educative
Litere Filologie;litere filologie
Arta;arta
Carti copii in limbi straine;carti copii in limbi straine
Povesti;povesti
Medicina Pentru Toti;medicina pentru toti
Desen Muzica Film Teatru;desen muzica film teatru
Biografii;biografii
Litere Etnologie;litere etnologie
Atlase Enciclopedii;atlase enciclopedii
Filosofie Universala;filosofie universala
Animale Pasari;animale pasari
Comunicare Jurnalism;comunicare jurnalism
Literatura americana;literatura americana
Pedagogie Metodica;pedagogie metodica
Ingineri;ingineri
Parapsihologie;parapsihologie
Carte Juridica;carte juridica
Legislatie;legislatie
Albume Romania;albume romania
Comunicare Publicitate;comunicare publicitate
Dezvoltare Profesionala;dezvoltare profesionala
Paranormal;paranormal
Crestinism;crestinism
Limbi Straine Copii;limbi straine copii
Minte Corp;minte corp
Romane gotice;romane gotice
Miscellaneous;miscellaneous
Franceza;franceza
Literatura engleza;literatura engleza
Politica;politica
Relatii Internationale;relatii internationale
Sport;sport
Spiritualitate;spiritualitate
Carti In Dar;carti in dar
Germana;germana
Literatura japoneza;literatura japoneza
Masaj Relaxare;masaj relaxare
Alimentatie Sanatate;alimentatie sanatate
Istorii Secrete;istorii secrete
Astrologie;astrologie
Sexualitate;sexualitate
Carti Pentru Copii;carti pentru copii
Publicistica;publicistica
Psihologie Practica;psihologie practica
Diverse;diverse
Italiana;italiana
Dezv Spirituala;dezv spirituala
Software;software
Dictionare Romana;dictionare romana
Poezii;poezii
Filosofie Romaneasca;filosofie romaneasca
Nuvele;nuvele
Carti de aventura;carti de aventura
Economie Politica;economie politica
Genetica Biologie;genetica biologie
Carti pentru adolescenti;carti pentru adolescenti
Dezvoltarea Afacerilor;dezvoltarea afacerilor
Spaniola;spaniola
Partituri Muzicale;partituri muzicale
Lifestyle;lifestyle
Religii Orientale;religii orientale
Literatura clasica;literatura clasica
Manuale Clasa 11;manuale clasa 11
Manuale Clasa 1;manuale clasa 1
Civilizatii;civilizatii
Ghid Turistic;ghid turistic
Teatru;teatru
Stiinta si filosofie;stiinta si filosofie
Arta Fotografica;arta fotografica
Teste Psihometrice;teste psihometrice
Literatura franceza;literatura franceza
