Publisher;Publisher_Std
RAZESU;razesu
BLACK CAT;black cat
STIINTA;stiinta
INSTITUTUL EUROPEAN;institutul european
EPISCOPIA ROMANULUI;episcopia romanului
SIGMA;sigma
MIRON;miron
RAO;rao
POLIROM;polirom
SCRIPTA;scripta
ALBEDO;albedo
DEXON;dexon
VENUS;venus
GIL;gil
AGAPIS;agapis
PAIDEIA;paideia
SAECULUM I.O.;saeculum io
DEISIS;deisis
LUX LIBRIS;lux libris
CARMINIS;carminis
MIX;mix
ALDO PRESS;aldo press
SOPHIA;sophia
BUNAVESTIRE;bunavestire
MAST;mast
PRUT;prut
GRUPUL EDITORIAL ART;grupul editorial art
EMIA;emia
HOFFMAN;hoffman
ORIZONTURI;orizonturi
NATIONAL;national
ARAMIS;aramis
NICULESCU;niculescu
ALL;all
EPIGRAF;epigraf
CHARMIDES;charmides
CARTOGRAPHIA;cartographia
SF. XENIA-PRESS;sf xeniapress
CARTEX;cartex
ANTET REVOLUTION;antet revolution
BISERICA ORTODOXA ROMANA;biserica ortodoxa romana
HERRA;herra
ANDREAS;andreas
EDUARD;eduard
DAFFI S BOOKS;daffi s books
BIZANTINA;bizantina
TEHNO-ART;tehnoart
PETRION;petrion
VESTALA;vestala
EXCELSIOR ART;excelsior art
C.H. BECK;ch beck
ARC;arc
KOINONIA;koinonia
PEARSON;pearson
REGIS;regis
ARPEGGIONE;arpeggione
HUMANITAS;humanitas
BISERICA ORTODOXA - ALEXANDRIA;biserica ortodoxa  alexandria
AMALTEA;amaltea
LOGOS;logos
LIMES;limes
CORINT;corint
VINTAGE PUBLISHING;vintage publishing
CIDEB;cideb
TRIUMF;triumf
ROZICRUCIANA;rozicruciana
EGUMENITA;egumenita
ROMANIA PRESS;romania press
CARTEA ACTUALA 3C;cartea actuala 3c
LIDER;lider
AGATON;agaton
GEMMA PRES;gemma pres
BONIFACIU;bonifaciu
RAM;ram
TREI;trei
GALAXIA GUTENBERG;galaxia gutenberg
AXA;axa
CASA CARTII;casa cartii
ALMA SOFT;alma soft
ROLCRIS;rolcris
NOUA ACROPOLA;noua acropola
FOR YOU;for you
IDEEA EUROPEANA;ideea europeana
AMM;amm
GUNIVAS;gunivas
NEVERLAND;neverland
MANASTIREA DERVENT;manastirea dervent
HELEN EXLEY;helen exley
VIITORUL ROMANESC;viitorul romanesc
AXIOMA;axioma
ROHIA;rohia
DAKSHA;daksha
MANASTIREA SIHASTRIA;manastirea sihastria
STEAUA NORDULUI;steaua nordului
LUMINA DIN LUMINA;lumina din lumina
FIRUL ARIADNEI;firul ariadnei
MATHPRESS;mathpress
CALIN;calin
CODEX;codex
CARTDIDACT;cartdidact
MUZEUL LITERATURII ROMANE;muzeul literaturii romane
AGORA;agora
EDITURA SFANTULUI NECTARIE;editura sfantului nectarie
CARTEA DAATH;cartea daath
CERES;ceres
PASTEL;pastel
MEDICALA;medicala
BRANDBUILDERS GRUP;brandbuilders grup
BOOKLET;booklet
DEALUL MELCILOR;dealul melcilor
MIRACOL;miracol
ARTFILCO;artfilco
UNICART;unicart
SCRISUL ROMANESC;scrisul romanesc
VREMEA;vremea
DEVA;deva
ELIS;elis
PROSVETA;prosveta
ADRIAN PAUNESCU;adrian paunescu
MMS;mms
UNIVERSITARA;universitara
PRO DAO;pro dao
DADA;dada
VICOVIA;vicovia
PREDANIA;predania
HERALD;herald
EX PONTO;ex ponto
RENASTEREA;renasterea
GRAFOART;grafoart
KRON ART;kron art
BADEA & PROFESSIONAL CONSULTING;badea  professional consulting
WORDSWORTH;wordsworth
CD PRESS;cd press
PROXIMA;proxima
AMADOROS;amadoros
CALLISTO;callisto
CONPHYS;conphys
FLAMINGO;flamingo
HORA;hora
IULIAN CART;iulian cart
MATEIAS;mateias
EVANGHELISMOS;evanghelismos
PRO EDITURA;pro editura
SOCIETATEA ZIARISTILOR SI OAMENILOR DE CULTURA;societatea ziaristilor si oamenilor de cultura
ARISTARC;aristarc
SEMNE;semne
ADEVAR DIVIN;adevar divin
TANA;tana
HONTERUS;honterus
CATHISMA;cathisma
ARS LIBRI;ars libri
PRESTIGE;prestige
METEOR PRESS;meteor press
ARANIA;arania
AD LIBRI;ad libri
VIVALDI;vivaldi
LITERA;litera
CORIFEU;corifeu
PRO EDITURA SI TIPOGRAFIE;pro editura si tipografie
PRESA UNIVERSITARA CLUJEANA;presa universitara clujeana
GRAFEMA;grafema
BRUMAR;brumar
MEDITATII;meditatii
EDITURA CREATOR;editura creator
EUROPRESS;europress
CARTIER;cartier
PRO UNIVERSITARIA;pro universitaria
CASA CARTII DE STIINTA;casa cartii de stiinta
AMSTA PUBLISHING;amsta publishing
CURTEA VECHE;curtea veche
FORTUNA;fortuna
DIDACTICA SI PEDAGOGICA;didactica si pedagogica
DHARANA;dharana
ERC PRESS;erc press
NASTICOR;nasticor
ALCOR;alcor
TRANSILVANIA EXPRES;transilvania expres
RAMURI;ramuri
VERBA;verba
UNIVERS;univers
EIKON;eikon
ROVIMED;rovimed
AQUILA;aquila
AQUILA 93;aquila 93
GIRASOL;girasol
GRAMAR;gramar
ROXEL CART;roxel cart
ASOCIATIA DE STIINTE COGNITIVE DIN ROMANIA;asociatia de stiinte cognitive din romania
LUMEA CREDINTEI;lumea credintei
PANDORA;pandora
CALLAS;callas
GRUPUL DE EDITURI TRIBUNA;grupul de edituri tribuna
BIBLIOTECA GUTENBERG;biblioteca gutenberg
FUNDATIA CULTURALA IDEEA EUROPEANA;fundatia culturala ideea europeana
CARTILE TANGO;cartile tango
EXCALIBUR;excalibur
INSTITUTUL REVOLUTIEI ROMANE;institutul revolutiei romane
LEDA;leda
DECENEU;deceneu
DIDACTICA PUBLISHING HOUSE;didactica publishing house
KREATIV;kreativ
SENECA;seneca
BLOOMSBURY;bloomsbury
TRITONIC;tritonic
AMETIST;ametist
PATMOS;patmos
PLUMB;plumb
AETERNITAS;aeternitas
NOMINA;nomina
ROSETTI;rosetti
THEMIS CART;themis cart
UNIVERSALIA PRESS;universalia press
VELLANT;vellant
ALBASTRA;albastra
ROMGHID;romghid
EUROLOBBY;eurolobby
GAMA;gama
SUPERGRAPH;supergraph
ASTRO;astro
OASTEA DOMNULUI;oastea domnului
OMNIBOOKS UNLIMITED;omnibooks unlimited
NICOL;nicol
MARINEASA;marineasa
YVELINEDITION;yvelinedition
;
PUBLICA;publica
UNIVERSUL JURIDIC;universul juridic
CODECS;codecs
PARALELA 45;paralela 45
PALADIN;paladin
VOX;vox
CHRISTIANA;christiana
DORINTA;dorinta
CETATEA DE SCAUN;cetatea de scaun
CARTEA ORTODOXA;cartea ortodoxa
CA PUBLISHING;ca publishing
CASA RADIO;casa radio
LUMEN;lumen
ECONOMICA;economica
COREUS PUBLISHING;coreus publishing
BASILICA;basilica
ARTEMIS;artemis
READERS DIGEST;readers digest
FABER & FABER;faber  faber
SILVIUS LIBRIS;silvius libris
UNIVERSITARIA CRAIOVA;universitaria craiova
PRE-TEXT;pretext
BUSINESS TECH;business tech
MARIST;marist
AIUS;aius
IBU PUBLISHING;ibu publishing
INDEPENDENT FILM;independent film
CASA;casa
TEDIT;tedit
PEGAS;pegas
EUROBOOKIDS;eurobookids
DO-MINO;domino
DACIA;dacia
ALMA ARTEX;alma artex
MILA CRESTINA;mila crestina
CARTEA COPIILOR;cartea copiilor
SFANTA MANASTIRE VATOPED;sfanta manastire vatoped
PROEMA;proema
CORUT PAVEL;corut pavel
ABEONA PRESS;abeona press
PRODROMOS;prodromos
COMPLEMENT CONTROL;complement control
HYPERION;hyperion
CONTEMPORANUL;contemporanul
SONART;sonart
TABOR;tabor
SEDUCTIVE;seductive
SOLARIS PANACEU;solaris panaceu
MAGIC PRINT;magic print
LINGHEA;linghea
MJM;mjm
PESCARUS;pescarus
INCOGNITO MEDIA;incognito media
SPER;sper
ANTEEA;anteea
LIFESTYLE;lifestyle
ELEKTRA;elektra
EDITURA DE SUFLET;editura de suflet
GANESHA;ganesha
VIDIA;vidia
MINERVA;minerva
TEOPITICOT;teopiticot
THEOSIS;theosis
STEFAN;stefan
ECCLESIAST;ecclesiast
SORPECO;sorpeco
LIVINGSTONE;livingstone
CHISINAU;chisinau
MUNTENIA;muntenia
CASA CORPULUI DIDACTIC;casa corpului didactic
ORFEU;orfeu
MY EBOOK;my ebook
NEMIRA;nemira
DERC PUBLISHING HOUSE;derc publishing house
DOXOLOGIA;doxologia
HERG BENET;herg benet
CUVANTUL VIETII;cuvantul vietii
TIPO MOLDOVA;tipo moldova
OMNIA UNI S.A.S.T.;omnia uni sast
PHILOBIA;philobia
BCC PUBLISHING;bcc publishing
CRISAN;crisan
GENS LATINA;gens latina
ETNOUS;etnous
BETTA;betta
FIN WATCH;fin watch
NOUA;noua
BIBLIOTHECA;bibliotheca
BAROQUE BOOKS & ARTS;baroque books  arts
JOY;joy
CREDINTA STRAMOSEASCA;credinta stramoseasca
REINTREGIREA;reintregirea
AGNOS;agnos
DIANA;diana
BILTONG;biltong
MITROPOLIA MOLDOVEI;mitropolia moldovei
ROOSSA;roossa
REVISTEI TIMPUL;revistei timpul
MONITORUL OFICIAL;monitorul oficial
STUDIS;studis
GREEN ART TOUR;green art tour
ULYSSE;ulysse
POINT MAX;point max
ASCENDENT;ascendent
ECOU;ecou
TRACUS ARTE;tracus arte
FUNDATIA ACADEMIA CIVICA;fundatia academia civica
ECOU TRANSILVAN;ecou transilvan
PONTE;ponte
BENEFICA;benefica
VIGA;viga
ALTIP;altip
AREOPAG;areopag
PREDA PUBLISHING;preda publishing
POLIGRAF-DESIGN;poligrafdesign
RAWEX COMS;rawex coms
SINGUR;singur
GLOBO;globo
PIM;pim
MERIDIANE PUBLISHING;meridiane publishing
SINAPSIS;sinapsis
INSTITUTUL BIBLIC;institutul biblic
HAMANGIU;hamangiu
FAVORIT;favorit
ERICONA;ericona
TEOCORA;teocora
LEGACY;legacy
LIZUKA EDUCATIV;lizuka educativ
MILLENIUM PRESS;millenium press
ASOCIATIA ILARION ARGATU;asociatia ilarion argatu
ARTMED;artmed
KEDVENC KIADO;kedvenc kiado
TRINITAS;trinitas
MIRANDA;miranda
EPICA;epica
GANDUL APRINS;gandul aprins
IGLOO;igloo
ARMONII CULTURALE;armonii culturale
BRASOV;brasov
AHRIMAN;ahriman
HEADLINE;headline
SFANTUL IOAN CASIAN;sfantul ioan casian
SCHUBERT & FRANZKE;schubert  franzke
LUCMAN;lucman
FUNDATIA PARTENER BRASOV;fundatia partener brasov
VIA;via
AGE - ART;age  art
C2 DESIGN;c2 design
BIBLION;biblion
CREATESPACE SUA;createspace sua
OSCAR PRINT;oscar print
EXIGENT;exigent
PESTALOZZI;pestalozzi
MIHAIL SADOVEANU;mihail sadoveanu
NEPSIS;nepsis
EURISTICA;euristica
ADENIUM;adenium
LITERA EDUCATIONAL;litera educational
ADRIANA NICOLAE;adriana nicolae
TIMPUL;timpul
KAIZEN;kaizen
APOLLONIA;apollonia
LIRA;lira
MOZAIK;mozaik
MILITARA;militara
ACCENT PRINT;accent print
POLYMNIA;polymnia
MIHAELA BONCIOAGA;mihaela boncioaga
ILEANA;ileana
ELITERATURA;eliteratura
BMI;bmi
ALMA;alma
KOOB;koob
DORINA STANCIU;dorina stanciu
MONEY FOR HELP;money for help
FARMAMEDIA;farmamedia
DARIS;daris
ANDREIANA;andreiana
BABEL;babel
ARTPRINT;artprint
ATMAN;atman
GAROFINA;garofina
SUFLET TRANSILVAN;suflet transilvan
TAMAR;tamar
THE NEW EARTH;the new earth
ONE BOOK;one book
KONDYLI;kondyli
ESP SYSTEM;esp system
SMARTBOX FAMILY;smartbox family
GESTALT BOOKS;gestalt books
PENGUIN BOOKS;penguin books
GUTENBERG BOOKS;gutenberg books
KARTH;karth
PAPYRUS;papyrus
EUROCARPATICA;eurocarpatica
ROMANIA IN LUME;romania in lume
INSTITUTUL CULTURAL ROMAN;institutul cultural roman
NAPOCA STAR;napoca star
OLIMP;olimp
TREIRA;treira
SCOALA ARDELEANA;scoala ardeleana
ALLEGRIA;allegria
ACT SI POLITON;act si politon
INTUITEXT;intuitext
CARTA ATLAS;carta atlas
LEXON PRIM;lexon prim
EDITGRAPH;editgraph
CONTA;conta
CREATIVE PUBLISHING;creative publishing
FLOARE DE IRIS;floare de iris
BOOKSTORY;bookstory
POSEIDON;poseidon
BOOKBREAK PUBLISHING;bookbreak publishing
HIPOCRATE;hipocrate
TANDEM MEDIA;tandem media
REMIND;remind
GIFTED KIDS;gifted kids
MIRADOR;mirador
GAROFITA PIETREI CRAIULUI;garofita pietrei craiului
SILUANA;siluana
SOARES CONSULTING;soares consulting
KARINA;karina
PRINCIPIUM;principium
EAGLE;eagle
STEFAN CRISTIAN-FLORIN;stefan cristianflorin
ACUM INFO;acum info
SITECH;sitech
GRAFEMA LIBRIS;grafema libris
SZALAY KONYVEK;szalay konyvek
EVENIMENTUL SI CAPITAL;evenimentul si capital
ELICART;elicart
MIORITICS;mioritics
EPUBLISHERS;epublishers
BUCURESTI;bucuresti
KATARTIS;katartis
ULTRATECH GROUP SRL;ultratech group srl
WORLD MEDIAGRAPH;world mediagraph
SINCRON;sincron
UNIVERS ENCICLOPEDIC;univers enciclopedic
LIVIU REBREANU;liviu rebreanu
PAGINA DE PSIHOLOGIE;pagina de psihologie
TEXTE;texte
ANACRONIC;anacronic
INSTITUTUL DE CERCETARI PSIHOSOCIALE SI BIOETICA;institutul de cercetari psihosociale si bioetica
GIMNASIUM;gimnasium
ALIAS;alias
CRIME SCENE PRESS;crime scene press
NATIUNEA;natiunea
LETRAS;letras
PRO-PRINT;proprint
QUANTUM;quantum
FUNDATIA JUSTIN PARVU;fundatia justin parvu
EVRIKA;evrika
STORIA BOOKS;storia books
BESTSELLER;bestseller
BOLDAS;boldas
JUNIMEA;junimea
VINEA;vinea
ARS LONGA;ars longa
STEFADINA;stefadina
INTEGRAL;integral
CARTEA ROMANEASCA;cartea romaneasca
LIBRARIA ANDY SZEKELY;libraria andy szekely
BLACK BUTTON BOOKS;black button books
BIBLIOPHIL;bibliophil
BOOKZONE;bookzone
WOLTERS KLUWER;wolters kluwer
