Category,Category_Std
Legislatia muncii,legislatia muncii
Computere si internet,computere si internet
 Állattenyésztés, allattenyesztes
 Litere Filologie, litere filologie
Raftul Teach for Romania,raftul teach for romania
Politologie si guvernare,politologie si guvernare
 Ayuda para aprender, ayuda para aprender
 Történelem, tortenelem
 Gazdaság-igazgatás, gazdasagigazgatas
Benzi desenate,benzi desenate
Gradinita - Educatie civica,gradinita  educatie civica
 A Monarchia kora, a monarchia kora
Romania,romania
Raftul traducatorului - Mariana Barbulescu,raftul traducatorului  mariana barbulescu
 Stiinta si filosofie, stiinta si filosofie
Limbi Straine Copii,limbi straine copii
 Oktatói-pedagógia, oktatoipedagogia
 Carti thriller, carti thriller
 Deutsche Bücher , deutsche bucher 
Religie,religie
 Szakmai nyelv, szakmai nyelv
 Relatii Internationale, relatii internationale
Dezv Spirituala,dezv spirituala
Carti,carti
 Science Fiction und Fantasy, science fiction und fantasy
Clasa a II-a - Limba si literatura romana,clasa a iia  limba si literatura romana
Istoria limbajului,istoria limbajului
"Enciclopedii, dictionare, atlase",enciclopedii dictionare atlase
" Esotericismo, Antroposofía ", esotericismo antroposofia 
Educatie Psihologie,educatie psihologie
 Orientalisztika, orientalisztika
Pop,pop
Dictionare ale limbii romane,dictionare ale limbii romane
"Teorie generala, scoli",teorie generala scoli
"Ghiduri si harti turistice, atlase",ghiduri si harti turistice atlase
 Szociológia, szociologia
 Dezvoltare Spirituala, dezvoltare spirituala
 Matematika, matematika
Auxiliare - Gradinita,auxiliare  gradinita
 Literatura daneza, literatura daneza
 BOOKR Kids ajándékkártyák, bookr kids ajandekkartyak
 Carti pentru adolescenti, carti pentru adolescenti
Scolaresti,scolaresti
Trauma si Vindecare,trauma si vindecare
 Albumok, albumok
 Comunicare Publicitate, comunicare publicitate
 Növénytan, novenytan
Fictiune,fictiune
 Gyermekkönyvek, gyermekkonyvek
 Literatura Universala, literatura universala
Creat cu incredere in Romania,creat cu incredere in romania
Psihologia sociala si de grup,psihologia sociala si de grup
 Jugendromane u. -erzählungen, jugendromane u erzahlungen
" Kifestők, foglalkoztatók ", kifestok foglalkoztatok 
Cătălin Dorian Florescu,catalin dorian florescu
 legende, legende
Istorie economica,istorie economica
 Jeunesse , jeunesse 
 Materiales didácticos, materiales didacticos
Tehnica si tehnologie,tehnica si tehnologie
 Fotóalbumok, fotoalbumok
Petronela Rotar,petronela rotar
 Policier et suspence, policier et suspence
Clasa a IV-a - Limba si literatura romana,clasa a iva  limba si literatura romana
 Kreatív hobbi, kreativ hobbi
 Nemzetiségi oktatás , nemzetisegi oktatas 
 Geografie Topografie, geografie topografie
Simona Antonescu,simona antonescu
Carte si film,carte si film
Carti la preturi speciale,carti la preturi speciale
" Menedzsment, vezetési stratégiák", menedzsment vezetesi strategiak
 Art forms, art forms
 Harmonika, harmonika
Carte,carte
"Cartomantie, alte preziceri",cartomantie alte preziceri
Astrologie,astrologie
Clasa a XI-a - Sociologie,clasa a xia  sociologie
Alte religii si credinte,alte religii si credinte
 Filosofie Universala, filosofie universala
 Szolgáltatás, szolgaltatas
 Istorie, istorie
" Kerámia, porcelán", keramia porcelan
 Módszertani kiadványok, modszertani kiadvanyok
Clasa a XII-a - Limba engleza,clasa a xiia  limba engleza
 Geschenkbücher, geschenkbucher
 Linguistics , linguistics 
 Gordonka, gordonka
Carte Juridica,carte juridica
 Apprendre, apprendre
 Pedagógia, pedagogia
 Tudomány és természet, tudomany es termeszet
Italiana,italiana
Literatura greaca,literatura greaca
 School and Learning , school and learning 
Raftul Street Delivery,raftul street delivery
 Literatura italiana, literatura italiana
Manuale Clasa 7,manuale clasa 7
Bucatarie,bucatarie
 Literatura elvetiana, literatura elvetiana
 Sociologie, sociologie
Florin Chirculescu,florin chirculescu
 Számelmélet, szamelmelet
 Carti de joc educative, carti de joc educative
 E-hangoskönyv , ehangoskonyv 
Psihologia emotiilor,psihologia emotiilor
 3-6 éveseknek, 36 eveseknek
Jocuri in limba romana,jocuri in limba romana
 Egyéb kiadványok, egyeb kiadvanyok
 Középsúlyos fogy, kozepsulyos fogy
Summer Madness,summer madness
 Buddhizmus, buddhizmus
 Carti cu CD, carti cu cd
Octavian Soviany,octavian soviany
Raftul Unfinished 2024,raftul unfinished 2024
 Természettudomány, termeszettudomany
Culegeri Auxiliare,culegeri auxiliare
 Children's Books, childrens books
 Ismeretterjesztő, ismeretterjeszto
 Medicina Veterinara, medicina veterinara
 Nachschlagewerke , nachschlagewerke 
 Engleza, engleza
