Format;Format_Std
keménytábla, védőborító;Szállító
puhatáblás, ragasztókötött;Szállító
cérnafűzött, keménytáblás;Szállító
füles, kartonált;Szállító
karton;Szállító
kemény kötés;Szállító
irkafűzött;Szállító
lapozó;Szállító
papír / puha kötés;Szállító
kartonált, cérnafűzött;Szállító
leporelló;Szállító
dobozban / tokban;Szállító
kemény kötésben;Szállító
ragasztott;Szállító
flexibilis, cérnafűzött;Szállító
ragasztókötött;Szállító
spirál;Szállító
ragasztott, keménytábla;Szállító
flexibilis karton;Szállító
vászon;Szállító
kartonált ragasztókötés visszahajló füllel;Szállító
kötve, habosított;Szállító
flexi;Szállító
keménytábla, dobozban;Szállító
bélelt borító;Szállító
fűzetlen;Szállító
keménytáblás, vászonborítós;Szállító
fűzve;Szállító
bőr;Szállító
díszdobozban;Szállító
kötve;Szállító
kötve, védővel;Szállító
félkarton;Szállító
fóliázott;Szállító
műbőr;Szállító
pur ragasztókötés;Szállító
cérnafűzött kartonált védőborítóval;Szállító
kartonált, spriálfűzött;Szállító
díszkötés;Szállító
cérnafűzött;Szállító
kártya;Szállító
stancolt;Szállító
bársony / velúr;Szállító
papírkötés;Szállító
mappában;Szállító
cérnafűzött, oromszegős, könyvjelzővel ellátott;Szállító
kapcsos;Szállító
Dedikált;Szállító
keménytáblás, műbőrkötéses;Szállító
ragasztott keménytábla, félvászon;Szállító
befűzhető lapos kapcsos;Szállító
szabadlapos;Szállító
műanyag;Szállító
kasírozott;Szállító
fűzött védőborítós tokban;Szállító
gyűrűs mappa;Szállító
plasztik tasakban;Szállító
zipzáras tokban;Szállító
jegyzet;Szállító
hajtogatott;Szállító
pamphlet / füzet;Szállító
gumiborító;Szállító
félvászon;Szállító
celofán csomagolás;Szállító
térkép;Szállító
puha,díszvarrott;Szállító
textil;Szállító
Paperback;Szállító
;Szállító
Hardcover;Szállító
Paperback, Paperback;Szállító
Flexibound;Szállító
Necartonata;Szállító
Cartonata;Szállító
Paperback / softback;Szállító
