ID;Title;Title_Std;Author;Author_Std;Price;Reviews;Score;Genre1;Genre1_Std;Genre2;Genre2_Std;Genre3;Genre3_Std;Genre4;Genre4_Std;Number_Of_Pages;Publisher;Publisher_Std;Cover_Type;Cover_Type_Std;Publishing_Date;Language;Language_Std;Translator
B0151;A zsebtolvaj;a zsebtolvaj;Kalász István;kalasz istvan;18.0;4.0;4.0;Kortárs;kortars;Regények;regenyek;Magyar irodalom;magyar irodalom;Próza;proza;158;ZETNA;zetna;ISBN: 9788684339609;isbn 9788684339609;2011;magyar;magyar;N/A
B0204;Magyarország történelmi földrajza a Hunyadiak korában V.;magyarorszag tortenelmi foldrajza a hunyadiak koraban v;Csánki Dezső;csanki dezso;104.0;15.0;4.5;Középkor;kozepkor;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;971;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5990000000511;isbn 5990000000511;2011;magyar;magyar;N/A
B0212;Különleges szobanövények: húsevők, kaktuszok, kúszó szárúak - Otthonunk növényei 5.;kulonleges szobanovenyek husevok kaktuszok kuszo szaruak  otthonunk novenyei 5;;;16.0;4.0;4.0;Szobanövények;szobanovenyek;Növény és kert;noveny es kert;Kert és lakás;kert es lakas;Hobbi, szabadidő;hobbi szabadido;32;Szalay Könyvek;szalay konyvek;ISBN: 9789632514123;isbn 9789632514123;2012;magyar;magyar;N/A
B0240;Israel hören - Das Heilige Land - Das Israel-Hörbuch - Eine musikalisch illustrierte Reise durch die Kulturgeschichte Israels;israel horen  das heilige land  das israelhorbuch  eine musikalisch illustrierte reise durch die kulturgeschichte israels;Hesse, Corinna;hesse corinna;126.0;4.0;4.0;Sonstiges;sonstiges;Geschichte;geschichte;Geisteswissenschaften, Kunst, Musik;geisteswissenschaften kunst musik;Hörbücher;horbucher;;;;ISBN: 3940665002;isbn 3940665002;N/A;német;nemet;N/A
B0241;Ilmtal-Radwanderweg 1 : 35 000 - Mit Entfernungsangaben in Kilometern, Citykarten sowie vielen Ausflugszielen in Text und Bild;ilmtalradwanderweg 1  35 000  mit entfernungsangaben in kilometern citykarten sowie vielen ausflugszielen in text und bild;;;46.0;4.0;4.0;Deutschland;deutschland;Karten, Stadtpläne;karten stadtplane;Reiseführer;reisefuhrer;Deutsche Bücher;deutsche bucher;;;;ISBN: 3895911135;isbn 3895911135;N/A;német;nemet;N/A
B0243;Praxisleitfaden Kleintierassistenz - Bd. 2 - Operationsassistenz;praxisleitfaden kleintierassistenz  bd 2  operationsassistenz;Steidl, Thomas - Röcken, Friedrich;steidl thomas  rocken friedrich;262.0;4.0;4.0;Tiermedizin;tiermedizin;Medizin, Pharmazie;medizin pharmazie;Mathematik, Naturwissenschaften, Technik, Medizin;mathematik naturwissenschaften technik medizin;Deutsche Bücher;deutsche bucher;256;;;ISBN: 3877066984;isbn 3877066984;N/A;német;nemet;N/A
B0280;Walsrode, KVplan, Wanderkarte/Stadtplan/Radkarte, 1:25.000 / 1:10.000 - Stadtplan mit Freizeitkarte inkl. Rad- und Wanderwegen;walsrode kvplan wanderkartestadtplanradkarte 125000  110000  stadtplan mit freizeitkarte inkl rad und wanderwegen;;;22.0;4.0;4.0;Deutschland;deutschland;Karten, Stadtpläne;karten stadtplane;Reiseführer;reisefuhrer;Deutsche Bücher;deutsche bucher;;;;ISBN: 3896413694;isbn 3896413694;N/A;német;nemet;N/A
B0292;Deutsche Erfindungen - Das Erfinder-Hörbuch - Eine Entdeckungsreise in die Erfindenation Deutschland;deutsche erfindungen  das erfinderhorbuch  eine entdeckungsreise in die erfindenation deutschland;Gropp, Ulrike;gropp ulrike;141.0;4.0;4.0;Sonstiges;sonstiges;Geschichte;geschichte;Geisteswissenschaften, Kunst, Musik;geisteswissenschaften kunst musik;Hörbücher;horbucher;;;;ISBN: 3940665126;isbn 3940665126;N/A;német;nemet;N/A
B0297;Englisch in der Grundschule. 4. Schuljahr;englisch in der grundschule 4 schuljahr;Lassert, Ursula;lassert ursula;131.0;0.0;0.0;Unterrichtsmat., Lehrer;unterrichtsmat lehrer;Schule und Lernen;schule und lernen;Deutsche Bücher;deutsche bucher;Idegen nyelvű;idegen nyelvu;53;;;ISBN: 3834423769;isbn 3834423769;N/A;német, angol;nemet angol;N/A
B0304;A zichi és vásonkeői gróf Zichy-család idősb ágának okmánytára XI.;a zichi es vasonkeoi grof zichycsalad idosb aganak okmanytara xi;Kammerer Ernő;kammerer erno;104.0;4.0;4.0;Heraldika, családtörténet;heraldika csaladtortenet;Történelem;tortenelem;Könyv;konyv;;;579;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000077074;isbn 2050000077074;2011;magyar;magyar;N/A
B0376;A zichi és vásonkeői gróf Zichy-család idősb ágának okmánytára XI.;a zichi es vasonkeoi grof zichycsalad idosb aganak okmanytara xi;Kammerer Ernő;kammerer erno;104.0;4.0;4.0;Heraldika, családtörténet;heraldika csaladtortenet;Történelem;tortenelem;Könyv;konyv;;;579;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000077074;isbn 2050000077074;2011;magyar;magyar;N/A
B0514;Erdély és az északkeleti háború I-II. Levelek és okiratok;erdely es az eszakkeleti haboru iii levelek es okiratok;Szilágyi Sándor;szilagyi sandor;142.0;0.0;0.0;Erdély;erdely;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;635;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992000000075;isbn 5992000000075;2012;magyar;magyar;N/A
B0518;Az egyházi jogi személy a régi és az új egyházügyi törvényben;az egyhazi jogi szemely a regi es az uj egyhazugyi torvenyben;Csiziné Dr. Schlosser Annamária;csizine dr schlosser annamaria;24.0;0.0;0.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;200;L'Harmattan Kiadó;lharmattan kiado;ISBN: 9789632365152;isbn 9789632365152;2012;magyar;magyar;N/A
B0533;Béla király névtelen jegyzőjének idejekora s hitelesége;bela kiraly nevtelen jegyzojenek idejekora s hitelesege;Podhraczky József;podhraczky jozsef;83.0;0.0;0.0;Középkor;kozepkor;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;430;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000123;isbn 5992400000123;2012;magyar;magyar;N/A
B0550;Béla király névtelen jegyzőjének idejekora s hitelesége;bela kiraly nevtelen jegyzojenek idejekora s hitelesege;Podhraczky József;podhraczky jozsef;83.0;4.0;4.0;Középkor;kozepkor;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;430;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000123;isbn 5992400000123;2012;magyar;magyar;N/A
B0628;A magyar és erdélyi bányajog rendszere;a magyar es erdelyi banyajog rendszere;Wenzel Gusztáv;wenzel gusztav;68.0;0.0;0.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;279;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000042119;isbn 2050000042119;2012;magyar;magyar;N/A
B0668;Egyetemeink a középkorban;egyetemeink a kozepkorban;Ábel Jenő;abel jeno;68.0;4.0;4.0;Középkor;kozepkor;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;97;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000450;isbn 5992400000450;2012;magyar;magyar;N/A
B0696;A római pápák történelme Szent Pétertől korunkig I.;a romai papak tortenelme szent petertol korunkig i;Karcsú Antal Arzén;karcsu antal arzen;68.0;0.0;0.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;292;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000060205;isbn 2050000060205;2012;magyar;magyar;N/A
B0737;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában - Európa átaljában, Portugallia, és Spanyol ország - 1.kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban  europa ataljaban portugallia es spanyol orszag  1kotet;Dóczy József;doczy jozsef;68.0;4.0;4.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;296;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000799;isbn 5992400000799;2012;magyar;magyar;N/A
B0748;Nyíregyháza szabad, kiváltságolt város története I-II.;nyiregyhaza szabad kivaltsagolt varos tortenete iii;Lukács Ödön;lukacs odon;104.0;0.0;0.0;Általános;altalanos;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;491;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001400;isbn 5992400001400;2012;magyar;magyar;N/A
B0758;Az ókori község tanulmány a görög és római vallásról, jogról intézményekről;az okori kozseg tanulmany a gorog es romai vallasrol jogrol intezmenyekrol;Fustel De Coulanges;fustel de coulanges;104.0;0.0;0.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;609;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000029875;isbn 2050000029875;2012;magyar;magyar;N/A
B0776;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában az egész munkához Európa földképe járul magyar nyelven - 7. kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban az egesz munkahoz europa foldkepe jarul magyar nyelven  7 kotet;Dóczy József;doczy jozsef;68.0;0.0;0.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;163;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001984;isbn 5992400001984;2012;magyar;magyar;N/A
B0777;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában az egész munkához Európa földképe járul magyar nyelven - 8. kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban az egesz munkahoz europa foldkepe jarul magyar nyelven  8 kotet;Dóczy József;doczy jozsef;68.0;1.0;5.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;346;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001985;isbn 5992400001985;2012;magyar;magyar;N/A
B0781;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában az egész munkához Európa földképe járul magyar nyelven - 7. kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban az egesz munkahoz europa foldkepe jarul magyar nyelven  7 kotet;Dóczy József;doczy jozsef;68.0;0.0;0.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;163;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001984;isbn 5992400001984;2012;magyar;magyar;N/A
B0782;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában az egész munkához Európa földképe járul magyar nyelven - 8. kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban az egesz munkahoz europa foldkepe jarul magyar nyelven  8 kotet;Dóczy József;doczy jozsef;68.0;0.0;0.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;346;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001985;isbn 5992400001985;2012;magyar;magyar;N/A
B0798;Britannica Hungarica Nagylexikon 7.;britannica hungarica nagylexikon 7;;;158.0;1.0;5.0;Általános;altalanos;Lexikon, enciklopédia;lexikon enciklopedia;Szakkönyv;szakkonyv;Könyv;konyv;415;;;ISBN: 9789630968010;isbn 9789630968010;N/A;magyar;magyar;N/A
B0880;Európa tekíntete jelenvaló természeti, míveleti, és kormányi állapotjában 9. kötet;europa tekintete jelenvalo termeszeti miveleti es kormanyi allapotjaban 9 kotet;Dóczy József;doczy jozsef;83.0;1.0;5.0;Egyéb;egyeb;Világtörténelem;vilagtortenelem;Történelem;tortenelem;Könyv;konyv;410;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001986;isbn 5992400001986;2012;magyar;magyar;N/A
B0889;Bethlen Gábor és a svéd diplomáczia;bethlen gabor es a sved diplomaczia;Szilágyi Sándor;szilagyi sandor;68.0;0.0;0.0;Erdély;erdely;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;75;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001518;isbn 5992400001518;2012;magyar;magyar;N/A
B0924;Büntetőjogtan I.;buntetojogtan i;Pauler Tivadar;pauler tivadar;68.0;0.0;0.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;333;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000029912;isbn 2050000029912;2012;magyar;magyar;N/A
B0931;A nyitrai választás;a nyitrai valasztas;Tarnóczy Gusztáv;tarnoczy gusztav;68.0;1.0;5.0;A történelmi Magyarország;a tortenelmi magyarorszag;Helytörténet;helytortenet;Történelem;tortenelem;Könyv;konyv;64;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001891;isbn 5992400001891;2012;magyar;magyar;N/A
B0943;Várak a későközépkorban - Die Burgen im Spatmittelalter - Castrum Bene 2/1990;varak a kesokozepkorban  die burgen im spatmittelalter  castrum bene 21990;Feld István;feld istvan;104.0;1.0;5.0;Régészet;regeszet;Történelem;tortenelem;Könyv;konyv;;;393;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000064463;isbn 2050000064463;2012;magyar;magyar;N/A
B0957;Magyarok a Vajdaságban 1955-1959;magyarok a vajdasagban 19551959;Vékás János;vekas janos;41.0;1.0;5.0;Egyéb;egyeb;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;453;Vajdasági Magyar Művelődési Intézet;vajdasagi magyar muvelodesi intezet;ISBN: 9788686469557;isbn 9788686469557;2012;magyar;magyar;N/A
B0960;A belgaság dicsérete;a belgasag dicserete;Szilágyi Aladár;szilagyi aladar;27.0;1.0;5.0;Esszé;essze;Irodalomtörténet;irodalomtortenet;Irodalom;irodalom;Könyv;konyv;196;Riport Kiadó;riport kiado;ISBN: 9786069324714;isbn 9786069324714;2012;magyar;magyar;N/A
B0971;Válasz a Pragmatica Sanctio és a házi törvények tárgyában;valasz a pragmatica sanctio es a hazi torvenyek targyaban;Jászi Viktor;jaszi viktor;68.0;0.0;0.0;Egyéb;egyeb;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;79;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2050000068157;isbn 2050000068157;2012;magyar;magyar;N/A
B0981;A debreczeni katholikus egyház vázlatos története;a debreczeni katholikus egyhaz vazlatos tortenete;Chilkó László;chilko laszlo;68.0;0.0;0.0;Magyarország;magyarorszag;Helytörténet;helytortenet;Történelem;tortenelem;Könyv;konyv;78;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001287;isbn 5992400001287;2012;magyar;magyar;N/A
B1000;A szepes-szombati krónika;a szepesszombati kronika;Demkó Kálmán;demko kalman;68.0;0.0;0.0;Magyar művelődéstörténet;magyar muvelodestortenet;Művelődéstörténet;muvelodestortenet;Történelem;tortenelem;Könyv;konyv;38;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400002488;isbn 5992400002488;2012;magyar;magyar;N/A
B1011;A budapesti magyar kir. Tudomány-Egyetem története I.;a budapesti magyar kir tudomanyegyetem tortenete i;Pauler Tivadar;pauler tivadar;104.0;1.0;5.0;Magyar művelődéstörténet;magyar muvelodestortenet;Művelődéstörténet;muvelodestortenet;Történelem;tortenelem;Könyv;konyv;556;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001495;isbn 5992400001495;2012;magyar;magyar;N/A
B1039;Önazonosság és tagoltság - Elemzések a kulturális megosztottságról;onazonossag es tagoltsag  elemzesek a kulturalis megosztottsagrol;Tóth Ágnes (szerk.);toth agnes szerk;38.0;1.0;5.0;Társadalompolitika;tarsadalompolitika;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;356;Argumentum;argumentum;ISBN: 9789634466864;isbn 9789634466864;2013;magyar;magyar;N/A
B1053;Ha már szavakat adott a Megváltó neked - Válogatott versek;ha mar szavakat adott a megvalto neked  valogatott versek;Dmitrij Mizgulin;dmitrij mizgulin;21.0;0.0;0.0;Kortárs;kortars;Világirodalom;vilagirodalom;Vers;vers;Szépirodalom;szepirodalom;108;Pytheas;pytheas;ISBN: 9186155173165;isbn 9186155173165;2013;magyar;magyar;N/A
B1055;Követválasztás - Eredeti politicai vígjáték 3 szakaszban;kovetvalasztas  eredeti politicai vigjatek 3 szakaszban;Beöthy Zsigmond;beothy zsigmond;68.0;0.0;0.0;19. századi;19 szazadi;Elbeszélések, novellák;elbeszelesek novellak;Magyar irodalom;magyar irodalom;Próza;proza;96;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400006520;isbn 5992400006520;2013;magyar;magyar;N/A
B1082;Ha már szavakat adott a Megváltó neked - Válogatott versek;ha mar szavakat adott a megvalto neked  valogatott versek;Dmitrij Mizgulin;dmitrij mizgulin;21.0;0.0;0.0;Kortárs;kortars;Világirodalom;vilagirodalom;Vers;vers;Szépirodalom;szepirodalom;108;Pytheas;pytheas;ISBN: 9186155173165;isbn 9186155173165;2013;magyar;magyar;N/A
B1084;Követválasztás - Eredeti politicai vígjáték 3 szakaszban;kovetvalasztas  eredeti politicai vigjatek 3 szakaszban;Beöthy Zsigmond;beothy zsigmond;68.0;1.0;5.0;19. századi;19 szazadi;Elbeszélések, novellák;elbeszelesek novellak;Magyar irodalom;magyar irodalom;Próza;proza;96;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400006520;isbn 5992400006520;2013;magyar;magyar;N/A
B1119;Magyar jezsuiták a 19. században;magyar jezsuitak a 19 szazadban;Velics László;velics laszlo;83.0;1.0;5.0;A Monarchia kora;a monarchia kora;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;235;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400002385;isbn 5992400002385;2012;magyar;magyar;N/A
B1131;A modern keresztény politika érvényesülésének akadályai;a modern kereszteny politika ervenyesulesenek akadalyai;Keményfy Kálmán Dániel;kemenyfy kalman daniel;68.0;1.0;5.0;Egyéb;egyeb;Vallás;vallas;Könyv;konyv;;;108;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400002156;isbn 5992400002156;2012;magyar;magyar;N/A
B1139;Magyar jezsuiták a 19. században;magyar jezsuitak a 19 szazadban;Velics László;velics laszlo;83.0;5.0;5.0;A Monarchia kora;a monarchia kora;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;235;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400002385;isbn 5992400002385;2012;magyar;magyar;N/A
B1151;A modern keresztény politika érvényesülésének akadályai;a modern kereszteny politika ervenyesulesenek akadalyai;Keményfy Kálmán Dániel;kemenyfy kalman daniel;68.0;5.0;5.0;Egyéb;egyeb;Vallás;vallas;Könyv;konyv;;;108;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400002156;isbn 5992400002156;2012;magyar;magyar;N/A
