Publisher;Publisher_Std
Animus Kiadó;animus kiado
Kulcslyuk Kiadó;kulcslyuk kiado
Akadémiai Kiadó;akademiai kiado
Édesvíz Kiadó;edesviz kiado
Beck & Partners Mi. Kft.;beck  partners mi kft
Jaffa Kiadó;jaffa kiado
Maxim Könyvkiadó;maxim konyvkiado
Libri Könyvkiadó;libri konyvkiado
Göncöl Kiadó;goncol kiado
Gabo Kiadó;gabo kiado
StratComm Kft.;stratcomm kft
Alexandra Kiadó;alexandra kiado
Open Books;open books
Álomgyár Kiadó;alomgyar kiado
Könyvmolyképző Kiadó Kft.;konyvmolykepzo kiado kft
Reneszánsz Könyvkiadó;reneszansz konyvkiado
Lazi Kiadó;lazi kiado
Harmat Kiadó;harmat kiado
Immanuel Alapítvány;immanuel alapitvany
Agave Könyvek;agave konyvek
Corvina Kiadó;corvina kiado
Móra Könyvkiadó;mora konyvkiado
Pagony Kiadó Kft.;pagony kiado kft
Tudatos Lépés Kft.;tudatos lepes kft
Bioenergetic Kft.;bioenergetic kft
Trivium Kiadó;trivium kiado
Magánkiadás;magankiadas
Pozsonyi Pagony;pozsonyi pagony
Athenaeum Kiadó;athenaeum kiado
L&L Kiadó;ll kiado
Saxum Kiadó;saxum kiado
BAGOLYVÁR TRADE KFT;bagolyvar trade kft
Ceruza;ceruza
Citera Kft.;citera kft
Bookline Könyvek;bookline konyvek
ALEXANDRA KÖNYVESHÁZ KFT.;alexandra konyveshaz kft
Guruló Egyetem Kft.;gurulo egyetem kft
Park Kiadó;park kiado
Helikon Kiadó;helikon kiado
Tintató Kiadó;tintato kiado
Filosz;filosz
LEVITER;leviter
21. Század Kiadó;21 szazad kiado
Tilos az Á Könyvek;tilos az a konyvek
Gamma Kiadó;gamma kiado
Magvető Könyvkiadó;magveto konyvkiado
AGYKONTROLL KFT;agykontroll kft
Manó Könyvek;mano konyvek
Ecovit Kiadó;ecovit kiado
Ab Ovo;ab ovo
Carta TEEN;carta teen
Ulpius-ház;ulpiushaz
Kossuth Kiadó;kossuth kiado
Central Médiacsoport Zrt.;central mediacsoport zrt
Osiris Kiadó;osiris kiado
Babilon Kiadó;babilon kiado
Net Média Zrt;net media zrt
Akkord Kiadó;akkord kiado
Jelenkor Kiadó;jelenkor kiado
Európa Könyvkiadó;europa konyvkiado
NIKOL KKT;nikol kkt
Bagolyvár Könyvkiadó;bagolyvar konyvkiado
Kismamablog Kiadó;kismamablog kiado
A4C Books;a4c books
VitaFreenet Kiadó;vitafreenet kiado
DAS könyvek;das konyvek
Cerkabella Könyvkiadó;cerkabella konyvkiado
MŰVELT NÉP KÖNYVKIADÓ KFT;muvelt nep konyvkiado kft
Pro Junior Kiadó;pro junior kiado
HVG Könyvek kiadó;hvg konyvek kiado
Logopédia Kiadó;logopedia kiado
Geopen Kiadó;geopen kiado
Rivaldafény Kiadó;rivaldafeny kiado
Gesta Kiadó;gesta kiado
Partvonal Könyvkiadó Kft;partvonal konyvkiado kft
Raabe Tanácsadó és Kiadó Kft.;raabe tanacsado es kiado kft
Studium Plusz Könyvkiadó;studium plusz konyvkiado
Central Könyvek;central konyvek
General Press Kiadó;general press kiado
Paradigma Film Int. Kft.;paradigma film int kft
KOLIBRI GYEREKKÖNYVKIADÓ KFT;kolibri gyerekkonyvkiado kft
Lampion Könyvek;lampion konyvek
BerGer Kiadó;berger kiado
Ciceró Könyvstúdió Kft.;cicero konyvstudio kft
Gold Book;gold book
MotiBooks;motibooks
Santos Kiadó;santos kiado
Egmont-Hungary Kft.;egmonthungary kft
Ursus Libris;ursus libris
Typotex Kiadó;typotex kiado
Raabe Klett Kft.;raabe klett kft
Mozaik Kiadó;mozaik kiado
Trubadur Kiadó;trubadur kiado
Street Kitchen Kiadó;street kitchen kiado
Scolar Kiadó;scolar kiado
